,,Value,Symbol
Harvested irrigated temporary crop area: Rice,Cameroon,20.39,I
Harvested irrigated temporary crop area: Maize,Cameroon,7.546,I
Harvested irrigated permanent crop area: Bananas,Cameroon,5.43,I
Harvested irrigated temporary crop area: Other crops,Cameroon,1.176,I
Harvested irrigated temporary crop area: Rice,Central African Republic,0.06,I
Harvested irrigated temporary crop area: Vegetables,Central African Republic,0.03,I
Harvested irrigated temporary crop area: Wheat,Chad,2.0,E
Harvested irrigated temporary crop area: Rice,Chad,10.0,E
Harvested irrigated temporary crop area: Maize,Chad,6.0,E
Harvested irrigated temporary crop area: Millet,Chad,3.0,E
Harvested irrigated temporary crop area: Sweet potatoes,Chad,0.05,E
Harvested irrigated temporary crop area: Sugarcane,Chad,3.754,E
Harvested irrigated temporary crop area: Vegetables,Chad,2.0,E
Harvested irrigated temporary crop area: Wheat,Chile,77.0854545455,I
Harvested irrigated temporary crop area: Rice,Chile,23.4754545455,I
Harvested irrigated temporary crop area: Maize,Chile,93.1772727273,I
Harvested irrigated temporary crop area: Potatoes,Chile,36.7809090909,I
Harvested irrigated temporary crop area: Sugar beet,Chile,27.7190909091,I
Harvested irrigated temporary crop area: Vegetables,Chile,107.3181818182,I
Harvested irrigated temporary crop area: Fodder,Chile,192.3409090909,I
Harvested irrigated permanent crop area: Other crops,Chile,284.1,I
Harvested irrigated temporary crop area: Rice,Colombia,153.2641176471,I
Harvested irrigated temporary crop area: Sorghum,Colombia,11.86,I
Harvested irrigated permanent crop area: Bananas,Colombia,5.804,I
Harvested irrigated temporary crop area: Cotton,Colombia,3.3363529412,I
Harvested irrigated temporary crop area: Fodder,Colombia,6.163,I
Harvested irrigated temporary crop area: Soybeans,Colombia,7.771,I
Harvested irrigated temporary crop area: Other crops,Colombia,6.523,I
Harvested irrigated permanent crop area: Other crops,Colombia,9.38,I
Harvested irrigated temporary crop area: Vegetables,Congo,0.434,I
Harvested irrigated temporary crop area: Wheat,Cyprus,0.5813333333,I
Harvested irrigated temporary crop area: Barley,Cyprus,2.4,I
Harvested irrigated temporary crop area: Other cereals,Cyprus,1.5497142857,I
Harvested irrigated temporary crop area: Other roots and tubers,Cyprus,7.2614285714,I
Harvested irrigated temporary crop area: Leguminous crops,Cyprus,1.0557142857,I
Harvested irrigated temporary crop area: Vegetables,Cyprus,4.8765714286,I
Harvested irrigated permanent crop area: Oil palm,Cyprus,0.606,I
Harvested irrigated temporary crop area: Flowers,Cyprus,0.065,I
Harvested irrigated temporary crop area: Other crops,Cyprus,2.267,I
Harvested irrigated permanent crop area: Other crops,Cyprus,6.2922222222,I
Harvested irrigated temporary crop area: Rice,Côte d’Ivoire,2.8071428571,I
Harvested irrigated temporary crop area: Sugarcane,Côte d’Ivoire,14.8246153846,I
Harvested irrigated temporary crop area: Other crops,Côte d’Ivoire,21.57,I
Harvested irrigated temporary crop area: Wheat,Democratic People's Republic of Korea,74.0,I
Harvested irrigated temporary crop area: Rice,Democratic People's Republic of Korea,470.0,I
Harvested irrigated temporary crop area: Other cereals,Democratic People's Republic of Korea,331.0,I
Harvested irrigated temporary crop area: Potatoes,Democratic People's Republic of Korea,86.0,I
Harvested irrigated temporary crop area: Sweet potatoes,Democratic People's Republic of Korea,19.0,I
Harvested irrigated temporary crop area: Leguminous crops,Democratic People's Republic of Korea,84.0,I
Harvested irrigated temporary crop area: Vegetables,Democratic People's Republic of Korea,147.0,I
Harvested irrigated temporary crop area: Tobacco,Democratic People's Republic of Korea,7.0,I
Harvested irrigated temporary crop area: Soybeans,Democratic People's Republic of Korea,94.0,I
Harvested irrigated permanent crop area: Other crops,Democratic People's Republic of Korea,39.0,I
Harvested irrigated temporary crop area: Rice,Democratic Republic of the Congo,2.3,I
Harvested irrigated temporary crop area: Sugarcane,Democratic Republic of the Congo,7.5833333333,I
Harvested irrigated temporary crop area: Other cereals,Djibouti,0.002,I
Harvested irrigated temporary crop area: Vegetables,Djibouti,0.532,I
Harvested irrigated permanent crop area: Other crops,Djibouti,0.05,I
Harvested irrigated temporary crop area: Rice,Ecuador,153.9,I
Harvested irrigated temporary crop area: Maize,Ecuador,60.64,I
Harvested irrigated temporary crop area: Potatoes,Ecuador,13.23,I
Harvested irrigated temporary crop area: Sugarcane,Ecuador,90.83,I
Harvested irrigated temporary crop area: Vegetables,Ecuador,80.74,I
Harvested irrigated permanent crop area: Bananas,Ecuador,148.5,I
Harvested irrigated permanent crop area: Citrus,Ecuador,7.889,I
Harvested irrigated permanent crop area: Cocoa beans,Ecuador,33.34,I
Harvested irrigated permanent crop area: Coffee,Ecuador,8.746,I
Harvested irrigated temporary crop area: Other crops,Ecuador,10.05,I
Harvested irrigated permanent crop area: Other crops,Ecuador,16.31,I
Harvested irrigated temporary crop area: Wheat,Egypt,1029.0,OF
Harvested irrigated temporary crop area: Rice,Egypt,650.0,OF
Harvested irrigated temporary crop area: Barley,Egypt,96.2,OF
Harvested irrigated temporary crop area: Maize,Egypt,827.9,OF
Harvested irrigated temporary crop area: Millet,Egypt,149.5,I
Harvested irrigated temporary crop area: Sorghum,Egypt,156.2,OF
Harvested irrigated temporary crop area: Other cereals,Egypt,620.44,I
Harvested irrigated temporary crop area: Potatoes,Egypt,82.59,OF
Harvested irrigated temporary crop area: Other roots and tubers,Egypt,3.001,OF
Harvested irrigated temporary crop area: Sugarcane,Egypt,135.8,OF
Harvested irrigated temporary crop area: Sugar beet,Egypt,64.6,OF
Harvested irrigated temporary crop area: Leguminous crops,Egypt,164.0,OF
Harvested irrigated temporary crop area: Vegetables,Egypt,472.1,OF
Harvested irrigated permanent crop area: Bananas,Egypt,24.16,OF
Harvested irrigated permanent crop area: Citrus,Egypt,145.4,OF
Harvested irrigated temporary crop area: Cotton,Egypt,296.7,OF
Harvested irrigated temporary crop area: Fodder,Egypt,1196.0,OF
Harvested irrigated temporary crop area: Soybeans,Egypt,5.914,OF
Harvested irrigated temporary crop area: Groundnuts,Egypt,59.24,OF
Harvested irrigated temporary crop area: Sunflower,Egypt,15.49,OF
Harvested irrigated temporary crop area: Sesame,Egypt,30.28,OF
Harvested irrigated temporary crop area: Flowers,Egypt,26.05,OF
Harvested irrigated temporary crop area: Other crops,Egypt,219.3,OF
Harvested irrigated permanent crop area: Other crops,Egypt,383.0,I
Harvested irrigated temporary crop area: Maize,El Salvador,2.9179166667,I
Harvested irrigated temporary crop area: Sugarcane,El Salvador,15.0555263158,I
Harvested irrigated permanent crop area: Citrus,El Salvador,1.0183333333,I
Harvested irrigated permanent crop area: Coffee,El Salvador,4.6723684211,I
Harvested irrigated temporary crop area: Cotton,Eritrea,1.86,I
Harvested irrigated temporary crop area: Other crops,Eritrea,4.109,I
Harvested irrigated temporary crop area: Rice,Eswatini,0.05,E
Harvested irrigated temporary crop area: Maize,Eswatini,0.5,E
Harvested irrigated temporary crop area: Potatoes,Eswatini,0.075,E
Harvested irrigated temporary crop area: Sugarcane,Eswatini,41.52,OF
Harvested irrigated temporary crop area: Vegetables,Eswatini,0.778,E
Harvested irrigated permanent crop area: Bananas,Eswatini,0.05,E
Harvested irrigated permanent crop area: Citrus,Eswatini,2.513,E
Harvested irrigated temporary crop area: Other crops,Eswatini,4.4,I
Harvested irrigated permanent crop area: Other crops,Eswatini,7.0,I
Harvested irrigated temporary crop area: Wheat,Ethiopia,23.16,E
Harvested irrigated temporary crop area: Barley,Ethiopia,5.791,E
