,,,Value,Symbol
Albania,Area salinized by irrigation,1,7.2,I
Albania,Area salinized by irrigation,1,7.2,I
Argentina,Area salinized by irrigation,1,584.0,I
Armenia,Area salinized by irrigation,1,25.2427272727,I
Armenia,Area waterlogged by irrigation,7,17.96,
Australia,Area salinized by irrigation,1,200.0,I
Azerbaijan,Area salinized by irrigation,1,579.325,I
Bahrain,Area salinized by irrigation,1,1.065,I
Bahrain,Area waterlogged by irrigation,7,1.86,I
Bangladesh,Area salinized by irrigation,1,100.0,I
Bangladesh,Area waterlogged by irrigation,7,770.0,I
Bolivia,Area salinized by irrigation,0,21.91,I
Brazil,Area salinized by irrigation,0,15.0,I
Cabo Verde,Area waterlogged by irrigation,1,0.0,I
Chile,Area salinized by irrigation,1,33.6,I
China,Area salinized by irrigation,0,6700.0,I
Colombia,Area salinized by irrigation,0,300.0,I
Cuba,Area salinized by irrigation,0,400.0,I
Democratic Republic of the Congo,Area waterlogged by irrigation,1,2.0,I
Egypt,Area salinized by irrigation,1,900.0,I
Eswatini,Area waterlogged by irrigation,1,7.46,I
Gambia,Area waterlogged by irrigation,1,0.2077,I
Georgia,Area salinized by irrigation,0,113.6,
Ghana,Area salinized by irrigation,1,1.48,I
Guatemala,Area salinized by irrigation,1,5.0,I
India,Area salinized by irrigation,1,3300.0,I
India,Area waterlogged by irrigation,7,2460.0,I
Indonesia,Area salinized by irrigation,0,400.0,I
Indonesia,Area waterlogged by irrigation,6,2150.0,I
Iran,Area salinized by irrigation,1,2100.0,I
Iran,Area waterlogged by irrigation,7,1000.0,I
Iraq,Area salinized by irrigation,1,2150.5,I
Israel,Area salinized by irrigation,1,27.82,I
Jordan,Area salinized by irrigation,1,2.277,I
Jordan,Area waterlogged by irrigation,7,1.5,I
Kazakhstan,Area salinized by irrigation,1,327.9235294118,I
Kenya,Area salinized by irrigation,0,30.0,I
Kuwait,Area salinized by irrigation,1,4.08,I
Kyrgyzstan,Area salinized by irrigation,1,52.65,I
Lebanon,Area salinized by irrigation,0,1.0,I
Lebanon,Area waterlogged by irrigation,6,3.0,I
Libya,Area salinized by irrigation,0,190.0,I
Libya,Area waterlogged by irrigation,5,190.0,I
Malta,Area salinized by irrigation,1,0.0,I
Mauritania,Area waterlogged by irrigation,1,19.3,I
Mauritius,Area salinized by irrigation,0,0.0,
Mauritius,Area waterlogged by irrigation,3,0.0,
Mexico,Area salinized by irrigation,1,384.2,I
Morocco,Area salinized by irrigation,0,150.0,I
Mozambique,Area salinized by irrigation,1,2.0,I
Namibia,Area salinized by irrigation,1,1.3,I
Namibia,Area waterlogged by irrigation,7,2.0,I
Niger,Area salinized by irrigation,0,0.35,I
Nigeria,Area salinized by irrigation,0,100.0,I
Pakistan,Area waterlogged by irrigation,5,5902.0,I
Peru,Area salinized by irrigation,1,300.0,I
Philippines,Area salinized by irrigation,0,300.0,I
Romania,Area salinized by irrigation,1,400.0,I
Romania,Area waterlogged by irrigation,7,900.0,I
Saudi Arabia,Area waterlogged by irrigation,1,15.0,I
South Africa,Area salinized by irrigation,1,100.0,I
Syrian Arab Republic,Area salinized by irrigation,1,60.0,I
Tajikistan,Area salinized by irrigation,1,66.056,I
Thailand,Area salinized by irrigation,0,400.0,I
Tunisia,Area salinized by irrigation,0,92.7058823529,I
Tunisia,Area waterlogged by irrigation,4,54.4444444444,I
Turkmenistan,Area salinized by irrigation,1,1354.0,
Turkmenistan,Area waterlogged by irrigation,6,756.5,
United Republic of Tanzania,Area salinized by irrigation,0,50.0,I
United States of America,Area salinized by irrigation,1,4200.0,I
Uzbekistan,Area salinized by irrigation,1,2102.6,I
Viet Nam,Area salinized by irrigation,0,300.0,I
