,,Value,Symbol
Desalinated water produced,Algeria,0.0311,I
Produced municipal wastewater,Algeria,0.6936,I
Desalinated water produced,Angola,0.0001,I
Desalinated water produced,Antigua and Barbuda,0.0033,I
Treated municipal wastewater,Antigua and Barbuda,0.0002,I
Desalinated water produced,Argentina,0.0007,I
Direct use of treated municipal wastewater,Argentina,0.03628,I
Direct use of treated municipal wastewater,Armenia,0.0001,I
Desalinated water produced,Australia,0.0298,I
Produced municipal wastewater,Australia,1.538,OF
Desalinated water produced,Austria,0.0022,E
Produced municipal wastewater,Azerbaijan,0.5806,I
Not treated municipal wastewater,Azerbaijan,0.4714222222,I
Treated municipal wastewater,Azerbaijan,0.1091777778,I
Desalinated water produced,Bahamas,0.0057363636,I
Desalinated water produced,Bahrain,0.0441,I
Direct use of treated municipal wastewater,Bahrain,0.01175,I
Produced municipal wastewater,Bahrain,0.084,OF
Treated municipal wastewater,Bahrain,0.056,OF
Treated municipal wastewater discharged (secondary water),Bahrain,0.0415272727,I
Produced municipal wastewater,Barbados,0.011,I
Produced municipal wastewater,Belarus,1.1724285714,I
Not treated municipal wastewater,Belarus,0.111,I
Treated municipal wastewater,Belarus,0.8825714286,I
Produced municipal wastewater,Belize,0.002,I
Produced municipal wastewater,Bolivia (Plurinational State of),0.1353555556,I
Not treated municipal wastewater,Bolivia (Plurinational State of),0.1022,I
Treated municipal wastewater,Bolivia (Plurinational State of),0.0336,I
Produced municipal wastewater,Botswana,0.011,I
Treated municipal wastewater,Botswana,0.0048,I
Desalinated water produced,Brazil,0.04,I
Produced municipal wastewater,Brazil,3.2833,I
Not treated municipal wastewater,Brazil,2.2358,I
Treated municipal wastewater,Brazil,0.9841777778,I
Desalinated water produced,Cabo Verde,0.0017,OF
Treated municipal wastewater,Cambodia,0.0002,I
Desalinated water produced,Canada,0.0027,I
Desalinated water produced,Chile,0.0048,I
Produced municipal wastewater,China,18.91,OF
Produced municipal wastewater,Colombia,2.096,I
Not treated municipal wastewater,Colombia,1.9605833333,I
Treated municipal wastewater,Colombia,0.143,I
Treated municipal wastewater,Congo,0.0,I
Produced municipal wastewater,Cuba,0.5651875,I
Not treated municipal wastewater,Cuba,0.393,I
Treated municipal wastewater,Cuba,0.1373846154,I
Desalinated water produced,Cyprus,0.0204285714,I
Desalinated water produced,Czechia,0.0002,E
Treated municipal wastewater,Côte d’Ivoire,0.0001,I
Desalinated water produced,Denmark,0.015,E
Desalinated water produced,Djibouti,0.0001,I
Desalinated water produced,Ecuador,0.0022,E
Desalinated water produced,Egypt,0.0678571429,I
Direct use of treated municipal wastewater,Egypt,0.48,I
Produced municipal wastewater,Egypt,3.632,I
Not treated municipal wastewater,Egypt,2.82125,I
Treated municipal wastewater,Egypt,0.9925,I
Treated municipal wastewater discharged (secondary water),Egypt,0.4928571429,I
Desalinated water produced,El Salvador,0.0001,I
Not treated municipal wastewater,Estonia,0.0257142857,I
Treated municipal wastewater,Estonia,0.3678571429,I
Produced municipal wastewater,Eswatini,0.0124545455,I
Desalinated water produced,Finland,0.0001,I
Desalinated water produced,France,0.0117,E
Collected municipal wastewater,Germany,4.634,I
Desalinated water produced,Greece,0.01,E
Treated municipal wastewater,Guatemala,0.0065,I
Desalinated water produced,Honduras,0.0002,I
Desalinated water produced,Hungary,0.0002,I
Desalinated water produced,India,0.0005,I
Produced municipal wastewater,India,7.7893333333,I
Not treated municipal wastewater,India,6.2483333333,I
Treated municipal wastewater,India,1.3713636364,I
Not treated municipal wastewater discharged (secondary water),India,6.2493333333,I
Direct use of not treated municipal wastewater for irrigation purposes,India,1.23,I
Desalinated water produced,Indonesia,0.01891,I
Desalinated water produced,Iran (Islamic Republic of),0.003,I
Produced municipal wastewater,Iran (Islamic Republic of),3.184,I
Not treated municipal wastewater,Iran (Islamic Republic of),2.9049375,I
Treated municipal wastewater,Iran (Islamic Republic of),0.2790625,I
Desalinated water produced,Iraq,0.0074,
Desalinated water produced,Ireland,0.0002,I
Desalinated water produced,Israel,0.0256,I
Direct use of treated municipal wastewater,Israel,0.2522,I
Produced municipal wastewater,Israel,0.38,I
Not treated municipal wastewater,Israel,0.0791,I
Treated municipal wastewater,Israel,0.3009,I
Treated municipal wastewater discharged (secondary water),Israel,0.0487,I
Desalinated water produced,Italy,0.0973,I
Treated municipal wastewater,Italy,2.0672666667,I
Desalinated water produced,Jamaica,0.0005,I
Desalinated water produced,Japan,0.04,I
Desalinated water produced,Jordan,0.0046,I
Direct use of treated municipal wastewater,Jordan,0.05,OF
Treated municipal wastewater,Jordan,0.069,I
Desalinated water produced,Kazakhstan,1.328,I
Desalinated water produced,Kuwait,0.3150888889,I
