,,Value,Symbol
Total freshwater withdrawal,Afghanistan,20.8095335664,E
Total freshwater withdrawal,Albania,1.43046,E
Total freshwater withdrawal,Algeria,5.2739636364,E
Total freshwater withdrawal,Angola,0.6033846154,I
Total freshwater withdrawal,Antigua and Barbuda,0.0032866667,I
Total freshwater withdrawal,Argentina,29.29427,E
Fresh surface water withdrawal,Armenia,1.33,OF
Fresh groundwater withdrawal,Armenia,0.52,OF
Total freshwater withdrawal,Armenia,1.85,OF
Total freshwater withdrawal,Australia,21.9282,E
Fresh groundwater withdrawal,Austria,1.148,X
Total freshwater withdrawal,Austria,3.642,E
Fresh surface water withdrawal,Azerbaijan,11.42,OF
Fresh groundwater withdrawal,Azerbaijan,1.098,OF
Total freshwater withdrawal,Azerbaijan,12.518,E
Total freshwater withdrawal,Bahrain,0.2583730769,E
Total freshwater withdrawal,Barbados,0.081,E
Total freshwater withdrawal,Belarus,1.9228,I
Total freshwater withdrawal,Belgium,7.69,E
Total freshwater withdrawal,Belize,0.0751248352,E
Total freshwater withdrawal,Benin,0.1433928571,E
Total freshwater withdrawal,Bolivia (Plurinational State of),1.8343181818,E
Total freshwater withdrawal,Botswana,0.16364,I
Total freshwater withdrawal,Brazil,55.15,E
Fresh surface water withdrawal,Brunei Darussalam,0.0915,I
Fresh groundwater withdrawal,Brunei Darussalam,0.0005,I
Total freshwater withdrawal,Brunei Darussalam,0.092,I
Total freshwater withdrawal,Bulgaria,6.5802,E
Total freshwater withdrawal,Burkina Faso,0.4722222222,E
Total freshwater withdrawal,Burundi,0.2446153846,I
Total freshwater withdrawal,Cameroon,0.754,I
Fresh surface water withdrawal,Canada,40.2623557453,I
Fresh groundwater withdrawal,Canada,1.8673988002,I
Total freshwater withdrawal,Canada,42.1297545455,I
Total freshwater withdrawal,Central African Republic,0.0554,I
Total freshwater withdrawal,Chad,0.6412358974,E
Total freshwater withdrawal,Chile,25.6923428571,E
Fresh surface water withdrawal,China,441.6,I
Fresh groundwater withdrawal,China,98.3714285714,I
Total freshwater withdrawal,China,539.9714285714,I
Total freshwater withdrawal,Congo,0.044,I
Total freshwater withdrawal,Cuba,5.2211318182,E
Total freshwater withdrawal,Cyprus,0.1811428571,I
Fresh surface water withdrawal,Czechia,1.906,X
Fresh groundwater withdrawal,Czechia,0.5865,X
Total freshwater withdrawal,Czechia,2.4925,E
Total freshwater withdrawal,Côte d’Ivoire,1.3204,I
Total freshwater withdrawal,Democratic Republic of the Congo,0.5193,E
Fresh surface water withdrawal,Denmark,0.016,X
Total freshwater withdrawal,Denmark,0.9175,E
Total freshwater withdrawal,Djibouti,0.0168,I
Total freshwater withdrawal,Dominica,0.0166,I
Fresh groundwater withdrawal,Dominican Republic,0.386,I
Total freshwater withdrawal,Egypt,62.0929428571,E
Total freshwater withdrawal,El Salvador,1.1332125,I
Total freshwater withdrawal,Equatorial Guinea,0.0156923077,I
Fresh surface water withdrawal,Estonia,1.1554378055,I
Fresh groundwater withdrawal,Estonia,0.2183907659,I
Total freshwater withdrawal,Estonia,1.3738285714,I
Total freshwater withdrawal,Eswatini,0.98425,I
Total freshwater withdrawal,Fiji,0.0697692308,I
Fresh surface water withdrawal,Finland,2.1705,I
Fresh groundwater withdrawal,Finland,0.28635,I
Total freshwater withdrawal,Finland,2.45685,I
