,,,Value,Symbol
Afghanistan,Total internal renewable water resources (IRWR),5,47.15,E
Afghanistan,Total internal renewable water resources per capita,11,1268.4305446576,E
Afghanistan,Total renewable surface water,17,55.68,E
Afghanistan,Total renewable groundwater,23,10.65,E
Afghanistan,Water resources: total external renewable,29,18.18,E
Afghanistan,Total renewable water resources,35,65.33,E
Afghanistan,Total renewable water resources per capita,41,1757.5093845701,E
Afghanistan,Total internal renewable water resources (IRWR),5,47.15,E
Afghanistan,Total internal renewable water resources per capita,11,1268.4305446576,E
Afghanistan,Total renewable surface water,17,55.68,E
Afghanistan,Total renewable groundwater,23,10.65,E
Afghanistan,Water resources: total external renewable,29,18.18,E
Afghanistan,Total renewable water resources,35,65.33,E
Afghanistan,Total renewable water resources per capita,41,1757.5093845701,E
Albania,Total internal renewable water resources (IRWR),5,26.9,E
Albania,Total internal renewable water resources per capita,11,9331.3999875119,E
Albania,Total renewable surface water,17,26.35,E
Albania,Total renewable groundwater,23,6.2,E
Albania,Water resources: total external renewable,33,3.3,E
Albania,Total renewable water resources,39,30.2,E
Albania,Total renewable water resources per capita,45,10476.1442238981,E
Algeria,Total internal renewable water resources (IRWR),5,11.247,E
Algeria,Total internal renewable water resources per capita,11,266.3372959738,E
Algeria,Total renewable surface water,17,10.15,E
Algeria,Total renewable groundwater,23,1.517,E
Algeria,Total exploitable water resources,29,7.9,E
Algeria,Water resources: total external renewable,35,0.42,E
Algeria,Total renewable water resources,41,11.667,E
Algeria,Total renewable water resources per capita,47,276.2832072665,E
Andorra,Total internal renewable water resources per capita,10,4098.3819442641,E
Andorra,Total renewable water resources per capita,21,4098.3819442641,E
Angola,Total internal renewable water resources (IRWR),5,148.0,E
Angola,Total internal renewable water resources per capita,11,4803.668392774,E
Angola,Total renewable surface water,17,145.4,E
Angola,Total renewable groundwater,23,58.0,E
Angola,Water resources: total external renewable,29,0.4,E
Angola,Total renewable water resources,35,148.4,E
Angola,Total renewable water resources per capita,41,4816.6512803221,E
Antigua and Barbuda,Total internal renewable water resources per capita,10,540.0577446358,E
Antigua and Barbuda,Total renewable surface water,16,0.0,E
Antigua and Barbuda,Total renewable groundwater,22,0.0,E
Antigua and Barbuda,Water resources: total external renewable,28,0.0,E
Antigua and Barbuda,Total renewable water resources per capita,39,540.0577446358,E
Argentina,Total internal renewable water resources (IRWR),5,292.0,E
Argentina,Total internal renewable water resources per capita,11,6582.3361206822,E
Argentina,Total renewable surface water,17,860.24,E
Argentina,Total renewable groundwater,23,128.0,E
Argentina,Water resources: total external renewable,29,584.24,E
Argentina,Total renewable water resources,35,876.24,E
Argentina,Total renewable water resources per capita,41,19752.4185013238,E
Armenia,Total internal renewable water resources (IRWR),5,6.859,E
Armenia,Total internal renewable water resources per capita,11,2323.7102120949,E
Armenia,Total renewable surface water,17,4.858,E
Armenia,Total renewable groundwater,23,4.311,E
Armenia,Water resources: total external renewable,29,0.91,E
Armenia,Total renewable water resources,35,7.769,E
Armenia,Total renewable water resources per capita,41,2632.0024256838,E
Australia,Total internal renewable water resources (IRWR),5,492.0,E
Australia,Total internal renewable water resources per capita,11,19760.5027071889,E
Australia,Total renewable surface water,17,440.0,E
Australia,Total renewable groundwater,23,72.0,E
Australia,Water resources: total external renewable,33,0.0,E
Australia,Total renewable water resources,39,492.0,E
Australia,Total renewable water resources per capita,45,19760.5027071889,E
Austria,Total internal renewable water resources (IRWR),5,55.0,E
Austria,Total internal renewable water resources per capita,11,6185.7608733305,E
Austria,Total renewable surface water,17,77.7,E
Austria,Total renewable groundwater,23,6.0,E
Austria,Total exploitable water resources,29,93.0,E
Austria,Water resources: total external renewable,35,22.7,E
Austria,Total renewable water resources,41,77.7,E
Austria,Total renewable water resources per capita,47,8738.7930883232,E
Azerbaijan,Total internal renewable water resources (IRWR),5,8.115,E
Azerbaijan,Total internal renewable water resources per capita,11,815.6158422246,E
Azerbaijan,Total renewable surface water,17,32.515,E
Azerbaijan,Total renewable groundwater,23,6.51,E
Azerbaijan,Water resources: total external renewable,29,26.56,E
Azerbaijan,Total renewable water resources,35,34.675,E
Azerbaijan,Total renewable water resources per capita,41,3485.086793486,E
Bahrain,Total internal renewable water resources (IRWR),5,0.004,E
Bahrain,Total internal renewable water resources per capita,11,2.5486700403,E
Bahrain,Total renewable surface water,17,0.004,E
Bahrain,Total renewable groundwater,23,0.112,E
Bahrain,Water resources: total external renewable,29,0.112,E
Bahrain,Total renewable water resources,35,0.116,E
Bahrain,Total renewable water resources per capita,41,73.9114311674,E
Bangladesh,Total internal renewable water resources (IRWR),5,105.0,E
Bangladesh,Total internal renewable water resources per capita,11,650.6515178138,E
Bangladesh,Total renewable surface water,17,1205.91,E
Bangladesh,Total renewable groundwater,23,21.122,E
Bangladesh,Water resources: total external renewable,29,1122.032,E
Bangladesh,Total renewable water resources,35,1227.032,E
Bangladesh,Total renewable water resources per capita,41,7603.5260305347,E
Barbados,Total internal renewable water resources (IRWR),5,0.08,E
Barbados,Total internal renewable water resources per capita,11,279.0947561584,E
Barbados,Total renewable surface water,17,0.008,E
Barbados,Total renewable groundwater,23,0.074,E
Barbados,Water resources: total external renewable,29,0.0,E
Barbados,Total renewable water resources,35,0.08,E
Barbados,Total renewable water resources per capita,41,279.0947561584,E
Belarus,Total internal renewable water resources (IRWR),5,34.0,E
Belarus,Total internal renewable water resources per capita,11,3596.887507449,E
Belarus,Total renewable surface water,17,57.9,E
Belarus,Total renewable groundwater,23,15.9,E
Belarus,Water resources: total external renewable,29,23.9,E
Belarus,Total renewable water resources,35,57.9,E
Belarus,Total renewable water resources per capita,41,6125.2878435676,E
Belgium,Total internal renewable water resources (IRWR),5,12.0,E
Belgium,Total internal renewable water resources per capita,11,1045.0978899648,E
Belgium,Total renewable surface water,17,18.3,E
Belgium,Total renewable groundwater,23,0.9,E
Belgium,Total exploitable water resources,29,1.0,E
Belgium,Water resources: total external renewable,35,6.3,E
Belgium,Total renewable water resources,41,18.3,E
Belgium,Total renewable water resources per capita,47,1593.7742821963,E
