,,,Value,Symbol
Afghanistan,Fresh surface water withdrawal,4,17.24,I
Afghanistan,Fresh groundwater withdrawal,9,3.042,I
Afghanistan,Total freshwater withdrawal,15,20.282,I
Afghanistan,Fresh surface water withdrawal,4,17.24,I
Afghanistan,Fresh groundwater withdrawal,9,3.042,I
Afghanistan,Total freshwater withdrawal,15,20.282,I
Algeria,Fresh surface water withdrawal,2,1.699,I
Algeria,Fresh groundwater withdrawal,5,8.103,I
Algeria,Total freshwater withdrawal,11,9.802,I
Angola,Total freshwater withdrawal,5,0.7057,I
Antigua and Barbuda,Fresh surface water withdrawal,2,0.0037,I
Antigua and Barbuda,Fresh groundwater withdrawal,5,0.0007,I
Antigua and Barbuda,Total freshwater withdrawal,11,0.0044,I
Argentina,Fresh surface water withdrawal,2,26.36,I
Argentina,Fresh groundwater withdrawal,5,11.33,I
Argentina,Total freshwater withdrawal,11,37.69,I
Australia,Total freshwater withdrawal,5,11.58411,E
Austria,Fresh surface water withdrawal,4,2.4285297327,I
Austria,Fresh groundwater withdrawal,10,1.0614702673,I
Austria,Total freshwater withdrawal,15,3.49,I
Bahrain,Fresh surface water withdrawal,3,0.0,I
Bahrain,Fresh groundwater withdrawal,7,0.1551,I
Bahrain,Total freshwater withdrawal,13,0.1551,I
Bangladesh,Fresh surface water withdrawal,2,7.39,I
Bangladesh,Fresh groundwater withdrawal,5,28.48,I
Bangladesh,Total freshwater withdrawal,8,35.87,I
Barbados,Total freshwater withdrawal,5,0.07,I
Belgium,Fresh surface water withdrawal,2,3.362,I
Belgium,Fresh groundwater withdrawal,7,0.6319,I
Belgium,Total freshwater withdrawal,13,3.994,I
Belize,Total freshwater withdrawal,5,0.101,I
Benin,Fresh surface water withdrawal,4,0.089,I
Benin,Fresh groundwater withdrawal,9,0.041,I
Benin,Total freshwater withdrawal,15,0.13,I
Bhutan,Fresh surface water withdrawal,2,0.3379,I
Bhutan,Fresh groundwater withdrawal,5,0.0,I
Bhutan,Total freshwater withdrawal,8,0.3379,I
Bolivia,Total freshwater withdrawal,5,2.088,I
Bosnia and Herzegovina,Fresh surface water withdrawal,4,0.1072,I
Bosnia and Herzegovina,Fresh groundwater withdrawal,9,0.2937,I
Bosnia and Herzegovina,Total freshwater withdrawal,14,0.4009,I
Botswana,Fresh surface water withdrawal,4,0.0761,I
Botswana,Fresh groundwater withdrawal,9,0.1169,I
Botswana,Total freshwater withdrawal,15,0.193,I
Brunei Darussalam,Fresh surface water withdrawal,5,0.0915,I
Brunei Darussalam,Fresh groundwater withdrawal,11,0.0005,I
Brunei Darussalam,Total freshwater withdrawal,17,0.092,I
Burkina Faso,Fresh groundwater withdrawal,4,0.011,I
Burundi,Total freshwater withdrawal,5,0.2801,E
Cabo Verde,Total freshwater withdrawal,4,0.0253,E
Cambodia,Total freshwater withdrawal,3,2.184,I
Cameroon,Total freshwater withdrawal,5,1.0884,E
Canada,Fresh surface water withdrawal,5,34.0220321717,I
Canada,Fresh groundwater withdrawal,11,1.5779678283,I
Canada,Total freshwater withdrawal,16,35.6,I
Central African Republic,Total freshwater withdrawal,5,0.0725,I
Chad,Total freshwater withdrawal,5,0.8796,I
Chile,Fresh surface water withdrawal,3,82.35,I
Chile,Fresh groundwater withdrawal,7,2.778,I
Chile,Total freshwater withdrawal,13,85.128,E
China,Fresh surface water withdrawal,3,484.9,I
China,Fresh groundwater withdrawal,9,106.9,I
China,Total freshwater withdrawal,15,591.8,I
Comoros,Total freshwater withdrawal,4,0.01,I
Congo,Fresh surface water withdrawal,4,0.022,I
