,,,Value,Symbol
Argentina,Area salinized by irrigation,5,584.0,I
Armenia,Area salinized by irrigation,5,20.41,I
Armenia,Area waterlogged by irrigation,11,18.72,I
Australia,Area salinized by irrigation,5,200.0,I
Azerbaijan,Area salinized by irrigation,4,270.12,I
Bahrain,Area salinized by irrigation,5,1.065,I
Bahrain,Area waterlogged by irrigation,11,1.86,I
Bangladesh,Area salinized by irrigation,5,100.0,I
Bangladesh,Area waterlogged by irrigation,11,770.0,I
Bolivia,Area salinized by irrigation,4,21.91,I
Brazil,Area salinized by irrigation,4,15.0,I
Cabo Verde,Area waterlogged by irrigation,5,0.0,I
Chile,Area salinized by irrigation,5,33.6,I
China,Area salinized by irrigation,4,6700.0,I
Colombia,Area salinized by irrigation,4,300.0,I
Cuba,Area salinized by irrigation,4,400.0,I
Democratic Republic of the Congo,Area waterlogged by irrigation,5,2.0,I
Dominican Republic,Area salinized by irrigation,3,50.34,I
Egypt,Area salinized by irrigation,5,900.0,I
Eswatini,Area waterlogged by irrigation,5,7.46,I
Gambia,Area waterlogged by irrigation,5,0.2077,I
Georgia,Area salinized by irrigation,4,113.6,I
Ghana,Area salinized by irrigation,5,1.48,I
Guatemala,Area salinized by irrigation,5,5.0,I
India,Area salinized by irrigation,5,3300.0,I
India,Area waterlogged by irrigation,11,2460.0,I
Indonesia,Area salinized by irrigation,4,400.0,I
Indonesia,Area waterlogged by irrigation,10,2150.0,I
Iran,Area salinized by irrigation,5,2100.0,I
Iran,Area waterlogged by irrigation,11,1000.0,I
Israel,Area salinized by irrigation,5,27.82,I
Jordan,Area salinized by irrigation,5,2.277,I
Jordan,Area waterlogged by irrigation,11,1.5,I
Kenya,Area salinized by irrigation,4,30.0,I
Kuwait,Area salinized by irrigation,5,4.08,I
Kyrgyzstan,Area salinized by irrigation,5,49.5,I
Kyrgyzstan,Area waterlogged by irrigation,9,35.4,I
Lebanon,Area salinized by irrigation,4,1.0,I
Lebanon,Area waterlogged by irrigation,10,3.0,I
Libya,Area salinized by irrigation,4,190.0,I
Libya,Area waterlogged by irrigation,9,190.0,I
Mauritania,Area waterlogged by irrigation,5,19.3,I
Mexico,Area salinized by irrigation,5,384.2,I
Morocco,Area salinized by irrigation,4,150.0,I
Mozambique,Area salinized by irrigation,5,2.0,I
Namibia,Area salinized by irrigation,5,1.3,I
Namibia,Area waterlogged by irrigation,11,2.0,I
Niger,Area salinized by irrigation,4,0.35,I
Nigeria,Area salinized by irrigation,4,100.0,I
Pakistan,Area salinized by irrigation,3,7003.0,I
Pakistan,Area waterlogged by irrigation,9,7072.0,I
Peru,Area salinized by irrigation,5,300.0,I
Philippines,Area salinized by irrigation,4,300.0,I
Romania,Area salinized by irrigation,5,400.0,I
Romania,Area waterlogged by irrigation,11,900.0,I
Saudi Arabia,Area waterlogged by irrigation,5,15.0,I
Seychelles,Area salinized by irrigation,3,0.0,I
Seychelles,Area waterlogged by irrigation,7,0.0,I
South Africa,Area salinized by irrigation,5,100.0,I
Switzerland,Area salinized by irrigation,0,0.0,I
Syrian Arab Republic,Area salinized by irrigation,5,60.0,I
Tajikistan,Area salinized by irrigation,5,23.23,I
Tajikistan,Area waterlogged by irrigation,8,25.74,I
Thailand,Area salinized by irrigation,4,400.0,I
Turkey,Area salinized by irrigation,3,1519.0,I
Turkmenistan,Area salinized by irrigation,5,1354.0,I
Turkmenistan,Area waterlogged by irrigation,10,756.5,I
United Republic of Tanzania,Area salinized by irrigation,4,50.0,I
United States of America,Area salinized by irrigation,5,4200.0,I
Uzbekistan,Area salinized by irrigation,5,1175.0,I
Viet Nam,Area salinized by irrigation,4,300.0,I
