,,Year,Value,Symbol
Not treated municipal wastewater,Australia,2012,0.315,I
Not treated municipal wastewater,Australia,2017,0.315,I
Not treated municipal wastewater,Australia,2018,0.315,I
Treated municipal wastewater,Australia,2012,1.9558,I
Treated municipal wastewater,Australia,2017,2.0,I
Treated municipal wastewater,Australia,2018,2.0,I
Treated municipal wastewater discharged (secondary water),Australia,2012,1.5502,I
Treated municipal wastewater discharged (secondary water),Australia,2017,1.58,I
Treated municipal wastewater discharged (secondary water),Australia,2018,1.58,I
Desalinated water produced,Austria,1997,0.0022,E
Desalinated water produced,Austria,2002,0.0022,I
Desalinated water produced,Austria,2007,0.0022,I
Desalinated water produced,Austria,2012,0.0022,I
Desalinated water produced,Austria,2017,0.0022,I
Desalinated water produced,Austria,2018,0.0022,I
Produced municipal wastewater,Austria,2002,1.0503333333,I
Produced municipal wastewater,Austria,2007,1.054,I
Produced municipal wastewater,Austria,2012,1.054,I
Produced municipal wastewater,Austria,2017,1.054,I
Produced municipal wastewater,Austria,2018,1.054,I
Collected municipal wastewater,Austria,2002,0.9943333333,I
Collected municipal wastewater,Austria,2007,1.25,I
Collected municipal wastewater,Austria,2012,1.919,I
Collected municipal wastewater,Austria,2017,1.919,I
Collected municipal wastewater,Austria,2018,1.919,I
Not treated municipal wastewater,Austria,2002,0.13035,I
Not treated municipal wastewater,Austria,2007,0.2,I
Not treated municipal wastewater,Austria,2012,0.02,I
Not treated municipal wastewater,Austria,2017,0.02,I
Not treated municipal wastewater,Austria,2018,0.02,I
Treated municipal wastewater,Austria,2007,0.8,I
Treated municipal wastewater,Austria,2012,1.919,I
Treated municipal wastewater,Austria,2017,1.919,I
Treated municipal wastewater,Austria,2018,1.919,I
Treated municipal wastewater discharged (secondary water),Austria,2007,0.8,I
Treated municipal wastewater discharged (secondary water),Austria,2012,0.806,I
Treated municipal wastewater discharged (secondary water),Austria,2017,0.806,I
Treated municipal wastewater discharged (secondary water),Austria,2018,0.806,I
Not treated municipal wastewater discharged (secondary water),Austria,2002,0.0007,I
Not treated municipal wastewater discharged (secondary water),Austria,2007,0.0007,I
