,,Year,Value,Symbol
Total freshwater withdrawal,Azerbaijan,1997,12.518,E
Total freshwater withdrawal,Azerbaijan,2002,10.075,E
Total freshwater withdrawal,Azerbaijan,2007,12.27,E
Total freshwater withdrawal,Azerbaijan,2012,11.97,E
Total freshwater withdrawal,Azerbaijan,2017,12.0035,E
Fresh surface water withdrawal,Bahrain,2007,0.0,I
Fresh surface water withdrawal,Bahrain,2012,0.0,I
Fresh surface water withdrawal,Bahrain,2017,0.0,I
Fresh surface water withdrawal,Bahrain,2018,0.0,I
Fresh groundwater withdrawal,Bahrain,2007,0.2170272727,I
Fresh groundwater withdrawal,Bahrain,2012,0.1899363636,I
Fresh groundwater withdrawal,Bahrain,2017,0.1551,I
Fresh groundwater withdrawal,Bahrain,2018,0.1551,I
Total freshwater withdrawal,Bahrain,1997,0.2583730769,E
Total freshwater withdrawal,Bahrain,2002,0.2559121795,E
Total freshwater withdrawal,Bahrain,2007,0.2170272727,I
Total freshwater withdrawal,Bahrain,2012,0.1899363636,I
Total freshwater withdrawal,Bahrain,2017,0.1551,I
Total freshwater withdrawal,Bahrain,2018,0.1551,I
Fresh surface water withdrawal,Bangladesh,2012,7.39,I
Fresh surface water withdrawal,Bangladesh,2017,7.39,I
Fresh surface water withdrawal,Bangladesh,2018,7.39,I
Fresh groundwater withdrawal,Bangladesh,2012,28.48,I
Fresh groundwater withdrawal,Bangladesh,2017,28.48,I
Fresh groundwater withdrawal,Bangladesh,2018,28.48,I
Total freshwater withdrawal,Bangladesh,2012,35.87,I
Total freshwater withdrawal,Bangladesh,2017,35.87,I
Total freshwater withdrawal,Bangladesh,2018,35.87,I
Total freshwater withdrawal,Barbados,1997,0.081,E
Total freshwater withdrawal,Barbados,2002,0.081,E
Total freshwater withdrawal,Barbados,2007,0.07,I
Total freshwater withdrawal,Barbados,2012,0.07,I
Total freshwater withdrawal,Barbados,2017,0.07,I
Total freshwater withdrawal,Barbados,2018,0.07,I
Fresh surface water withdrawal,Belarus,2002,0.7306,I
Fresh surface water withdrawal,Belarus,2007,0.694,I
Fresh surface water withdrawal,Belarus,2012,0.6733333333,I
Fresh surface water withdrawal,Belarus,2017,0.589,OF
Fresh groundwater withdrawal,Belarus,2002,1.054,I
Fresh groundwater withdrawal,Belarus,2007,0.9488,I
Fresh groundwater withdrawal,Belarus,2012,0.852,I
Fresh groundwater withdrawal,Belarus,2017,0.811,OF
Total freshwater withdrawal,Belarus,1997,1.9228,I
Total freshwater withdrawal,Belarus,2002,1.7846,I
Total freshwater withdrawal,Belarus,2007,1.6428,I
Total freshwater withdrawal,Belarus,2012,1.5253333333,I
Total freshwater withdrawal,Belarus,2017,1.397,OF
Fresh surface water withdrawal,Belgium,2012,4.664,X
Fresh surface water withdrawal,Belgium,2017,3.362,I
Fresh surface water withdrawal,Belgium,2018,3.362,I
Fresh groundwater withdrawal,Belgium,2002,0.6627,X
Fresh groundwater withdrawal,Belgium,2007,0.6476,X
Fresh groundwater withdrawal,Belgium,2012,0.6361,X
Fresh groundwater withdrawal,Belgium,2017,0.6319,I
Fresh groundwater withdrawal,Belgium,2018,0.6319,I
Total freshwater withdrawal,Belgium,1997,7.69,E
Total freshwater withdrawal,Belgium,2002,6.7357,E
Total freshwater withdrawal,Belgium,2007,6.214,OF
Total freshwater withdrawal,Belgium,2012,5.3,X
Total freshwater withdrawal,Belgium,2017,3.994,I
Total freshwater withdrawal,Belgium,2018,3.994,I
Total freshwater withdrawal,Belize,1997,0.0751248352,E
Total freshwater withdrawal,Belize,2002,0.101,I
Total freshwater withdrawal,Belize,2007,0.101,I
Total freshwater withdrawal,Belize,2012,0.101,I
Total freshwater withdrawal,Belize,2017,0.101,I
Total freshwater withdrawal,Belize,2018,0.101,I
Fresh surface water withdrawal,Benin,2002,0.089,I
Fresh surface water withdrawal,Benin,2007,0.089,I
Fresh surface water withdrawal,Benin,2012,0.089,I
Fresh surface water withdrawal,Benin,2017,0.089,I
Fresh surface water withdrawal,Benin,2018,0.089,I
Fresh groundwater withdrawal,Benin,2002,0.041,I
Fresh groundwater withdrawal,Benin,2007,0.041,I
Fresh groundwater withdrawal,Benin,2012,0.041,I
Fresh groundwater withdrawal,Benin,2017,0.041,I
Fresh groundwater withdrawal,Benin,2018,0.041,I
Total freshwater withdrawal,Benin,1997,0.1433928571,E
Total freshwater withdrawal,Benin,2002,0.13,I
Total freshwater withdrawal,Benin,2007,0.13,I
Total freshwater withdrawal,Benin,2012,0.13,I
Total freshwater withdrawal,Benin,2017,0.13,I
Total freshwater withdrawal,Benin,2018,0.13,I
Fresh surface water withdrawal,Bhutan,2012,0.3379,I
Fresh surface water withdrawal,Bhutan,2017,0.3379,I
Fresh surface water withdrawal,Bhutan,2018,0.3379,I
Fresh groundwater withdrawal,Bhutan,2012,0.0,I
Fresh groundwater withdrawal,Bhutan,2017,0.0,I
Fresh groundwater withdrawal,Bhutan,2018,0.0,I
Total freshwater withdrawal,Bhutan,2012,0.3379,I
Total freshwater withdrawal,Bhutan,2017,0.3379,I
Total freshwater withdrawal,Bhutan,2018,0.3379,I
Total freshwater withdrawal,Bolivia (Plurinational State of),1997,1.8343181818,E
Total freshwater withdrawal,Bolivia (Plurinational State of),2002,1.9983939394,E
