,,Value,Symbol
Total renewable water resources per capita,Benin,2361.4794118189,E
Total internal renewable water resources (IRWR),Bhutan,78.0,E
Total internal renewable water resources per capita,Bhutan,104618.925563634,E
Total renewable surface water,Bhutan,78.0,E
Total renewable groundwater,Bhutan,8.1,E
Water resources: total external renewable,Bhutan,0.0,E
Total renewable water resources,Bhutan,78.0,E
Total renewable water resources per capita,Bhutan,104618.925563634,E
Total internal renewable water resources (IRWR),Bolivia (Plurinational State of),303.5,E
Total internal renewable water resources per capita,Bolivia (Plurinational State of),27115.5125300917,E
Total renewable surface water,Bolivia (Plurinational State of),547.9,E
Total renewable groundwater,Bolivia (Plurinational State of),130.0,E
Water resources: total external renewable,Bolivia (Plurinational State of),270.5,E
Total renewable water resources,Bolivia (Plurinational State of),574.0,E
Total renewable water resources per capita,Bolivia (Plurinational State of),51282.7156252806,E
Total internal renewable water resources (IRWR),Bosnia and Herzegovina,35.5,E
Total internal renewable water resources per capita,Bosnia and Herzegovina,10592.1931061233,E
Total renewable surface water,Bosnia and Herzegovina,36.34,E
Total renewable groundwater,Bosnia and Herzegovina,11.57,E
Water resources: total external renewable,Bosnia and Herzegovina,2.0,E
Total renewable water resources,Bosnia and Herzegovina,37.5,E
Total renewable water resources per capita,Bosnia and Herzegovina,11188.9363797077,E
Total internal renewable water resources (IRWR),Botswana,2.4,E
Total internal renewable water resources per capita,Botswana,1088.3958858636,E
Total renewable surface water,Botswana,10.64,E
Total renewable groundwater,Botswana,1.7,E
Total exploitable water resources,Botswana,1.0,E
Water resources: total external renewable,Botswana,9.84,E
Total renewable water resources,Botswana,12.24,E
Total renewable water resources per capita,Botswana,5550.8190179041,E
Total internal renewable water resources (IRWR),Brazil,5661.0,E
Total internal renewable water resources per capita,Brazil,27238.107437402,E
Total renewable surface water,Brazil,8647.0,E
Total renewable groundwater,Brazil,645.6,E
Water resources: total external renewable,Brazil,2986.0,E
Total renewable water resources,Brazil,8647.0,E
Total renewable water resources per capita,Brazil,41605.3550629245,E
Total internal renewable water resources (IRWR),Brunei Darussalam,8.5,E
Total internal renewable water resources per capita,Brunei Darussalam,20024.8307901798,E
Total renewable surface water,Brunei Darussalam,8.5,E
Total renewable groundwater,Brunei Darussalam,0.1,E
Water resources: total external renewable,Brunei Darussalam,0.0,E
Total renewable water resources,Brunei Darussalam,8.5,E
Total renewable water resources per capita,Brunei Darussalam,20024.8307901798,E
Total internal renewable water resources (IRWR),Bulgaria,21.0,E
Total internal renewable water resources per capita,Bulgaria,2956.7286978961,E
Total renewable surface water,Bulgaria,20.4,E
Total renewable groundwater,Bulgaria,6.4,E
Water resources: total external renewable,Bulgaria,0.3,E
Total renewable water resources,Bulgaria,21.3,E
Total renewable water resources per capita,Bulgaria,2998.9676792946,E
Total internal renewable water resources (IRWR),Burkina Faso,12.5,E
Total internal renewable water resources per capita,Burkina Faso,651.271171914,E
Total renewable surface water,Burkina Faso,9.0,E
Total renewable groundwater,Burkina Faso,9.5,E
Total exploitable water resources,Burkina Faso,4.75,E
Water resources: total external renewable,Burkina Faso,1.0,E
Total renewable water resources,Burkina Faso,13.5,E
Total renewable water resources per capita,Burkina Faso,703.3728656671,E
Total internal renewable water resources (IRWR),Burundi,10.06,E
Total internal renewable water resources per capita,Burundi,929.1569544673,E
Total renewable surface water,Burundi,12.536,E
Total renewable groundwater,Burundi,7.47,E
Water resources: total external renewable,Burundi,2.476,E
Total renewable water resources,Burundi,12.536,E
Total renewable water resources per capita,Burundi,1157.8440935589,E
Total internal renewable water resources (IRWR),Cabo Verde,0.3,E
Total internal renewable water resources per capita,Cabo Verde,558.1416116897,E
Total renewable surface water,Cabo Verde,0.181,E
Total renewable groundwater,Cabo Verde,0.124,E
Total exploitable water resources,Cabo Verde,0.065,E
Water resources: total external renewable,Cabo Verde,0.0,E
Total renewable water resources,Cabo Verde,0.3,E
Total renewable water resources per capita,Cabo Verde,558.1416116897,E
Total internal renewable water resources (IRWR),Cambodia,120.6,E
Total internal renewable water resources per capita,Cambodia,7533.0700839737,E
Total renewable surface water,Cambodia,471.5,E
Total renewable groundwater,Cambodia,17.6,E
Water resources: total external renewable,Cambodia,355.5,E
Total renewable water resources,Cambodia,476.1,E
Total renewable water resources per capita,Cambodia,29738.7617494187,E
Total internal renewable water resources (IRWR),Cameroon,273.0,E
Total internal renewable water resources per capita,Cameroon,11112.887273436,E
Total renewable surface water,Cameroon,278.15,E
Total renewable groundwater,Cameroon,100.0,E
Water resources: total external renewable,Cameroon,10.15,E
Total renewable water resources,Cameroon,283.15,E
Total renewable water resources per capita,Cameroon,11526.0587233458,E
Total internal renewable water resources (IRWR),Canada,2850.0,E
Total internal renewable water resources per capita,Canada,77588.8225270026,E
Total renewable surface water,Canada,2892.0,E
Total renewable groundwater,Canada,370.0,E
Water resources: total external renewable,Canada,52.0,E
Total renewable water resources,Canada,2902.0,E
Total renewable water resources per capita,Canada,79004.4782362672,E
Total internal renewable water resources (IRWR),Central African Republic,141.0,E
Total internal renewable water resources per capita,Central African Republic,30678.6976479448,E
Total renewable surface water,Central African Republic,141.0,E
Total renewable groundwater,Central African Republic,56.0,E
Water resources: total external renewable,Central African Republic,0.0,E
Total renewable water resources,Central African Republic,141.0,E
Total renewable water resources per capita,Central African Republic,30678.6976479448,E
Total internal renewable water resources (IRWR),Chad,15.0,E
Total internal renewable water resources per capita,Chad,998.8843793329,E
Total renewable surface water,Chad,44.2,E
Total renewable groundwater,Chad,11.5,E
Water resources: total external renewable,Chad,30.7,E
Total renewable water resources,Chad,45.7,E
Total renewable water resources per capita,Chad,3043.2677423675,E
Total internal renewable water resources (IRWR),Chile,885.0,E
Total internal renewable water resources per capita,Chile,47914.3998688932,E
Total renewable surface water,Chile,923.06,E
Total renewable groundwater,Chile,140.0,E
Water resources: total external renewable,Chile,38.06,E
Total renewable water resources,Chile,923.06,E
Total renewable water resources per capita,Chile,49974.9897660797,E
Total internal renewable water resources (IRWR),China,2812.9,E
Total internal renewable water resources per capita,China,1936.4251114446,E
Total renewable surface water,China,2739.32,E
Total renewable groundwater,China,828.8,E
Water resources: total external renewable,China,27.32,E
Total renewable water resources,China,2840.22,E
Total renewable water resources per capita,China,1955.2324398405,E
Total internal renewable water resources (IRWR),Colombia,2145.0,E
Total internal renewable water resources per capita,Colombia,43856.2065191014,E
Total renewable surface water,Colombia,2360.0,E
Total renewable groundwater,Colombia,510.0,E
Water resources: total external renewable,Colombia,215.0,E
Total renewable water resources,Colombia,2360.0,E
Total renewable water resources per capita,Colombia,48252.050062974,E
Total internal renewable water resources (IRWR),Comoros,1.2,E
Total internal renewable water resources per capita,Comoros,1474.3970944548,E
Total renewable surface water,Comoros,0.2,E
Total renewable groundwater,Comoros,1.0,E
Water resources: total external renewable,Comoros,0.0,E
Total renewable water resources,Comoros,1.2,E
Total renewable water resources per capita,Comoros,1474.3970944548,E
Total internal renewable water resources (IRWR),Congo,222.0,E
Total internal renewable water resources per capita,Congo,43438.3190544535,E
Total renewable surface water,Congo,832.0,E
Total renewable groundwater,Congo,122.0,E
Water resources: total external renewable,Congo,610.0,E
Total renewable water resources,Congo,832.0,E
Total renewable water resources per capita,Congo,162795.862402276,E
Total renewable surface water,Cook Islands,0.0,E
Total renewable groundwater,Cook Islands,0.0,E
Water resources: total external renewable,Cook Islands,0.0,E
Total renewable water resources,Cook Islands,0.0,E
Total renewable water resources per capita,Cook Islands,0.0,E
Total internal renewable water resources (IRWR),Costa Rica,113.0,E
Total internal renewable water resources per capita,Costa Rica,22828.4949718725,E
Total renewable surface water,Costa Rica,113.0,E
Total renewable groundwater,Costa Rica,37.31,E
Water resources: total external renewable,Costa Rica,0.0,E
Total renewable water resources,Costa Rica,113.0,E
Total renewable water resources per capita,Costa Rica,22828.4949718725,E
Total internal renewable water resources (IRWR),Croatia,37.7,E
Total internal renewable water resources per capita,Croatia,9012.9784498968,E
Total renewable surface water,Croatia,95.0,E
Total renewable groundwater,Croatia,11.0,E
Water resources: total external renewable,Croatia,67.8,E
Total renewable water resources,Croatia,105.5,E
Total renewable water resources per capita,Croatia,25221.9953969261,E
Total internal renewable water resources (IRWR),Cuba,38.12,E
Total internal renewable water resources per capita,Cuba,3361.7731819042,E
Total renewable surface water,Cuba,31.64,E
Total renewable groundwater,Cuba,6.48,E
Total exploitable water resources,Cuba,24.0,E
Water resources: total external renewable,Cuba,0.0,E
Total renewable water resources,Cuba,38.12,E
Total renewable water resources per capita,Cuba,3361.7731819042,E
Total internal renewable water resources (IRWR),Cyprus,0.78,E
Total internal renewable water resources per capita,Cyprus,661.1973775895,E
Total renewable surface water,Cyprus,0.56,E
Total renewable groundwater,Cyprus,0.41,E
Total exploitable water resources,Cyprus,0.54,E
Water resources: total external renewable,Cyprus,0.0,E
Total renewable water resources,Cyprus,0.78,E
Total renewable water resources per capita,Cyprus,661.1973775895,E
Total internal renewable water resources (IRWR),Czechia,13.15,E
Total internal renewable water resources per capita,Czechia,1235.7821617711,E
Total renewable surface water,Czechia,13.15,E
Total renewable groundwater,Czechia,1.43,E
Water resources: total external renewable,Czechia,0.0,E
Total renewable water resources,Czechia,13.15,E
Total renewable water resources per capita,Czechia,1235.7821617711,E
Total internal renewable water resources (IRWR),Côte d’Ivoire,76.84,E
Total internal renewable water resources per capita,Côte d’Ivoire,3144.3516861606,E
Total renewable surface water,Côte d’Ivoire,81.3,E
Total renewable groundwater,Côte d’Ivoire,37.84,E
Total exploitable water resources,Côte d’Ivoire,39.0,E
Water resources: total external renewable,Côte d’Ivoire,7.3,E
Total renewable water resources,Côte d’Ivoire,84.14,E
Total renewable water resources per capita,Côte d’Ivoire,3443.0732804992,E
Total internal renewable water resources (IRWR),Democratic People's Republic of Korea,67.0,E
Total internal renewable water resources per capita,Democratic People's Republic of Korea,2634.7015758072,E
Total renewable surface water,Democratic People's Republic of Korea,76.15,E
Total renewable groundwater,Democratic People's Republic of Korea,13.0,E
Water resources: total external renewable,Democratic People's Republic of Korea,10.15,E
Total renewable water resources,Democratic People's Republic of Korea,77.15,E
Total renewable water resources per capita,Democratic People's Republic of Korea,3033.8392025899,E
Total internal renewable water resources (IRWR),Democratic Republic of the Congo,900.0,E
Total internal renewable water resources per capita,Democratic Republic of the Congo,11056.6789441668,E
Total renewable surface water,Democratic Republic of the Congo,1282.0,E
Total renewable groundwater,Democratic Republic of the Congo,421.0,E
Water resources: total external renewable,Democratic Republic of the Congo,383.0,E
Total renewable water resources,Democratic Republic of the Congo,1283.0,E
Total renewable water resources per capita,Democratic Republic of the Congo,15761.9100948511,E
Total internal renewable water resources (IRWR),Denmark,6.0,E
Total internal renewable water resources per capita,Denmark,1046.7050249168,E
Total renewable surface water,Denmark,3.7,E
Total renewable groundwater,Denmark,4.3,E
Water resources: total external renewable,Denmark,0.0,E
Total renewable water resources,Denmark,6.0,E
Total renewable water resources per capita,Denmark,1046.7050249168,E
Total internal renewable water resources (IRWR),Djibouti,0.3,E
Total internal renewable water resources per capita,Djibouti,317.7632854182,E
Total renewable surface water,Djibouti,0.3,E
Total renewable groundwater,Djibouti,0.015,E
Water resources: total external renewable,Djibouti,0.0,E
Total renewable water resources,Djibouti,0.3,E
Total renewable water resources per capita,Djibouti,317.7632854182,E
Total internal renewable water resources (IRWR),Dominica,0.2,E
Total internal renewable water resources per capita,Dominica,2798.8468750875,E
Total renewable surface water,Dominica,0.0,E
Total renewable groundwater,Dominica,0.0,E
Water resources: total external renewable,Dominica,0.0,E
Total renewable water resources,Dominica,0.2,E
Total renewable water resources per capita,Dominica,2798.8468750875,E
Total internal renewable water resources (IRWR),Dominican Republic,23.5,E
Total internal renewable water resources per capita,Dominican Republic,2235.3055767355,E
Total renewable surface water,Dominican Republic,23.5,E
Total renewable groundwater,Dominican Republic,4.161,E
Total exploitable water resources,Dominican Republic,2.469,E
Water resources: total external renewable,Dominican Republic,0.0,E
Total renewable water resources,Dominican Republic,23.5,E
Total renewable water resources per capita,Dominican Republic,2235.3055767355,E
Total internal renewable water resources (IRWR),Ecuador,442.4,E
Total internal renewable water resources per capita,Ecuador,26356.2993968375,E
Total renewable surface water,Ecuador,432.0,E
Total renewable groundwater,Ecuador,134.0,E
Water resources: total external renewable,Ecuador,0.0,E
Total renewable water resources,Ecuador,442.4,E
Total renewable water resources per capita,Ecuador,26356.2993968375,E
Total internal renewable water resources (IRWR),Egypt,1.0,E
Total internal renewable water resources per capita,Egypt,10.3688628606,E
Total renewable surface water,Egypt,56.0,E
Total renewable groundwater,Egypt,1.5,E
Water resources: total external renewable,Egypt,56.5,E
Total renewable water resources,Egypt,57.5,E
Total renewable water resources per capita,Egypt,596.2096144845,E
Total internal renewable water resources (IRWR),El Salvador,15.63,E
Total internal renewable water resources per capita,El Salvador,2446.7269430816,E
Total renewable surface water,El Salvador,22.69,E
Total renewable groundwater,El Salvador,6.15,E
Water resources: total external renewable,El Salvador,10.64,E
Total renewable water resources,El Salvador,26.27,E
Total renewable water resources per capita,El Salvador,4112.3171333815,E
Total internal renewable water resources (IRWR),Equatorial Guinea,26.0,E
Total internal renewable water resources per capita,Equatorial Guinea,20602.1860504183,E
Total renewable surface water,Equatorial Guinea,25.0,E
Total renewable groundwater,Equatorial Guinea,10.0,E
Water resources: total external renewable,Equatorial Guinea,0.0,E
Total renewable water resources,Equatorial Guinea,26.0,E
Total renewable water resources per capita,Equatorial Guinea,20602.1860504183,E
Total internal renewable water resources (IRWR),Eritrea,2.8,E
Total internal renewable water resources per capita,Eritrea,820.4183371703,E
Total renewable surface water,Eritrea,7.215,E
Total renewable groundwater,Eritrea,0.5,E
Water resources: total external renewable,Eritrea,4.515,E
Total renewable water resources,Eritrea,7.315,E
Total renewable water resources per capita,Eritrea,2143.3429058573,E
Total internal renewable water resources (IRWR),Estonia,12.71,E
Total internal renewable water resources per capita,Estonia,9633.2396031499,E
Total renewable surface water,Estonia,11.806,E
Total renewable groundwater,Estonia,4.0,E
Water resources: total external renewable,Estonia,0.096,E
Total renewable water resources,Estonia,12.806,E
Total renewable water resources per capita,Estonia,9706.0005002312,E
Total internal renewable water resources (IRWR),Eswatini,2.64,E
Total internal renewable water resources per capita,Eswatini,2347.0734927387,E
Total renewable surface water,Eswatini,4.51,E
Total renewable groundwater,Eswatini,0.66,E
Water resources: total external renewable,Eswatini,1.87,E
Total renewable water resources,Eswatini,4.51,E
Total renewable water resources per capita,Eswatini,4009.5838834287,E
Total internal renewable water resources (IRWR),Ethiopia,122.0,E
Total internal renewable water resources per capita,Ethiopia,1146.6173603658,E
Total renewable surface water,Ethiopia,120.0,E
Total renewable groundwater,Ethiopia,20.0,E
Water resources: total external renewable,Ethiopia,0.0,E
Total renewable water resources,Ethiopia,122.0,E
Total renewable water resources per capita,Ethiopia,1146.6173603658,E
Total renewable surface water,Faroe Islands,0.0,E
Total renewable groundwater,Faroe Islands,0.0,E
Water resources: total external renewable,Faroe Islands,0.0,E
Total renewable water resources,Faroe Islands,0.0,E
Total renewable water resources per capita,Faroe Islands,0.0,E
Total internal renewable water resources (IRWR),Fiji,28.55,E
Total internal renewable water resources per capita,Fiji,32537.1327891104,E
Total renewable surface water,Fiji,28.55,E
Total renewable groundwater,Fiji,5.273,E
Water resources: total external renewable,Fiji,0.0,E
Total renewable water resources,Fiji,28.55,E
Total renewable water resources per capita,Fiji,32537.1327891104,E
Total internal renewable water resources (IRWR),Finland,107.0,E
Total internal renewable water resources per capita,Finland,19414.4070504417,E
Total renewable surface water,Finland,109.8,E
Total renewable groundwater,Finland,2.2,E
Total exploitable water resources,Finland,3.0,E
Water resources: total external renewable,Finland,3.0,E
Total renewable water resources,Finland,110.0,E
Total renewable water resources per capita,Finland,19958.7362200803,E
Total internal renewable water resources (IRWR),France,200.0,E
Total internal renewable water resources per capita,France,3084.3963795417,E
Total renewable surface water,France,209.0,E
Total renewable groundwater,France,120.0,E
Total exploitable water resources,France,100.0,E
Water resources: total external renewable,France,11.0,E
Total renewable water resources,France,211.0,E
Total renewable water resources per capita,France,3254.0381804165,E
Total internal renewable water resources (IRWR),Gabon,164.0,E
Total internal renewable water resources per capita,Gabon,79425.6941151857,E
Total renewable surface water,Gabon,164.0,E
Total renewable groundwater,Gabon,62.0,E
Water resources: total external renewable,Gabon,2.0,E
Total renewable water resources,Gabon,166.0,E
Total renewable water resources per capita,Gabon,80394.3001409806,E
Total internal renewable water resources (IRWR),Gambia,3.0,E
Total internal renewable water resources per capita,Gambia,1355.0814878253,E
Total renewable surface water,Gambia,8.0,E
Total renewable groundwater,Gambia,0.5,E
Water resources: total external renewable,Gambia,5.0,E
Total renewable water resources,Gambia,8.0,E
Total renewable water resources per capita,Gambia,3613.5506342007,E
Total internal renewable water resources (IRWR),Georgia,58.13,E
Total internal renewable water resources per capita,Georgia,14500.9025333798,E
Total renewable surface water,Georgia,62.1,E
Total renewable groundwater,Georgia,17.23,E
Water resources: total external renewable,Georgia,5.2,E
Total renewable water resources,Georgia,63.33,E
Total renewable water resources per capita,Georgia,15798.0759924125,E
Total internal renewable water resources (IRWR),Germany,107.0,E
Total internal renewable water resources per capita,Germany,1294.4841461926,E
Total renewable surface water,Germany,153.3,E
Total renewable groundwater,Germany,45.7,E
Water resources: total external renewable,Germany,47.0,E
Total renewable water resources,Germany,154.0,E
Total renewable water resources per capita,Germany,1863.0893319033,E
Total internal renewable water resources (IRWR),Ghana,30.3,E
Total internal renewable water resources per capita,Ghana,1040.4696329666,E
Total renewable surface water,Ghana,54.9,E
Total renewable groundwater,Ghana,26.3,E
Water resources: total external renewable,Ghana,25.9,E
Total renewable water resources,Ghana,56.2,E
Total renewable water resources per capita,Ghana,1929.8479660965,E
Total internal renewable water resources (IRWR),Greece,58.0,E
Total internal renewable water resources per capita,Greece,5487.5135413858,E
Total renewable surface water,Greece,65.9,E
Total renewable groundwater,Greece,10.3,E
Total exploitable water resources,Greece,29.0,E
Water resources: total external renewable,Greece,10.4,E
Total renewable water resources,Greece,68.4,E
Total renewable water resources per capita,Greece,6471.4814867377,E
Total internal renewable water resources (IRWR),Grenada,0.2,E
Total internal renewable water resources per capita,Grenada,1803.8494146509,E
Total renewable surface water,Grenada,0.0,E
Total renewable groundwater,Grenada,0.0,E
Water resources: total external renewable,Grenada,0.0,E
Total renewable water resources,Grenada,0.2,E
Total renewable water resources per capita,Grenada,1803.8494146509,E
Total internal renewable water resources (IRWR),Guatemala,109.2,E
Total internal renewable water resources per capita,Guatemala,6455.8199039076,E
Total renewable surface water,Guatemala,119.41,E
Total renewable groundwater,Guatemala,33.7,E
Water resources: total external renewable,Guatemala,18.71,E
Total renewable water resources,Guatemala,127.91,E
Total renewable water resources per capita,Guatemala,7561.9406951357,E
Total internal renewable water resources (IRWR),Guinea,226.0,E
Total internal renewable water resources per capita,Guinea,18727.9589118526,E
Total renewable surface water,Guinea,226.0,E
Total renewable groundwater,Guinea,38.0,E
Water resources: total external renewable,Guinea,0.0,E
Total renewable water resources,Guinea,226.0,E
Total renewable water resources per capita,Guinea,18727.9589118526,E
Total internal renewable water resources (IRWR),Guinea-Bissau,16.0,E
