,,Value,Symbol
Fresh surface water withdrawal,Afghanistan,17.24,I
Fresh groundwater withdrawal,Afghanistan,3.042,I
Total freshwater withdrawal,Afghanistan,20.282,I
Fresh groundwater withdrawal,Albania,0.107,OF
Total freshwater withdrawal,Albania,1.091,E
Fresh surface water withdrawal,Algeria,1.699,OF
Fresh groundwater withdrawal,Algeria,8.103,OF
Total freshwater withdrawal,Algeria,9.802,OF
Total freshwater withdrawal,Angola,0.7057,I
Fresh surface water withdrawal,Antigua and Barbuda,0.0037,I
Fresh groundwater withdrawal,Antigua and Barbuda,0.0007,I
Total freshwater withdrawal,Antigua and Barbuda,0.0044,I
Fresh surface water withdrawal,Argentina,26.36,I
Fresh groundwater withdrawal,Argentina,11.33,I
Total freshwater withdrawal,Argentina,37.69,I
Fresh surface water withdrawal,Armenia,1.72,OF
Fresh groundwater withdrawal,Armenia,1.15,OF
Total freshwater withdrawal,Armenia,2.865,OF
Total freshwater withdrawal,Australia,10.63066,E
Fresh surface water withdrawal,Austria,2.4285297327,I
Fresh groundwater withdrawal,Austria,1.0614702673,I
Total freshwater withdrawal,Austria,3.49,I
Fresh surface water withdrawal,Azerbaijan,9.9375,I
Total freshwater withdrawal,Azerbaijan,12.0035,E
Fresh surface water withdrawal,Bahrain,0.0,I
Fresh groundwater withdrawal,Bahrain,0.1551,I
Total freshwater withdrawal,Bahrain,0.1551,I
Fresh surface water withdrawal,Bangladesh,7.39,I
Fresh groundwater withdrawal,Bangladesh,28.48,I
Total freshwater withdrawal,Bangladesh,35.87,I
Total freshwater withdrawal,Barbados,0.07,I
Fresh surface water withdrawal,Belarus,0.589,OF
Fresh groundwater withdrawal,Belarus,0.811,OF
Total freshwater withdrawal,Belarus,1.397,OF
Fresh surface water withdrawal,Belgium,3.362,I
Fresh groundwater withdrawal,Belgium,0.6319,I
Total freshwater withdrawal,Belgium,3.994,I
Total freshwater withdrawal,Belize,0.101,I
Fresh surface water withdrawal,Benin,0.089,I
Fresh groundwater withdrawal,Benin,0.041,I
Total freshwater withdrawal,Benin,0.13,I
Fresh surface water withdrawal,Bhutan,0.3379,I
Fresh groundwater withdrawal,Bhutan,0.0,I
Total freshwater withdrawal,Bhutan,0.3379,I
Total freshwater withdrawal,Bolivia (Plurinational State of),2.088,I
Fresh surface water withdrawal,Bosnia and Herzegovina,0.1072,OF
Fresh groundwater withdrawal,Bosnia and Herzegovina,0.2937,OF
Total freshwater withdrawal,Bosnia and Herzegovina,0.4009,OF
Fresh surface water withdrawal,Botswana,0.0761,OF
Fresh groundwater withdrawal,Botswana,0.1169,OF
Total freshwater withdrawal,Botswana,0.193,OF
Fresh surface water withdrawal,Brunei Darussalam,0.0915,I
Fresh groundwater withdrawal,Brunei Darussalam,0.0005,I
Total freshwater withdrawal,Brunei Darussalam,0.092,I
Fresh groundwater withdrawal,Burkina Faso,0.011,I
Total freshwater withdrawal,Burundi,0.2801,E
Total freshwater withdrawal,Cabo Verde,0.0253,E
Total freshwater withdrawal,Cambodia,2.184,I
Total freshwater withdrawal,Cameroon,1.0884,E
Fresh surface water withdrawal,Canada,34.0220321717,I
Fresh groundwater withdrawal,Canada,1.5779678283,I
Total freshwater withdrawal,Central African Republic,0.0725,I
Total freshwater withdrawal,Chad,0.8796,I
Fresh surface water withdrawal,Chile,82.35,I
Fresh groundwater withdrawal,Chile,2.778,I
Total freshwater withdrawal,Chile,85.128,E
Fresh surface water withdrawal,China,484.9,I
Fresh groundwater withdrawal,China,106.9,I
Total freshwater withdrawal,China,591.8,I
Total freshwater withdrawal,Comoros,0.01,I
Fresh surface water withdrawal,Congo,0.022,I
Fresh groundwater withdrawal,Congo,0.024,I
Total freshwater withdrawal,Congo,0.046,I
Fresh groundwater withdrawal,Croatia,0.4246,X
Total freshwater withdrawal,Croatia,0.6729,X
Fresh surface water withdrawal,Cuba,4.314,I
Fresh groundwater withdrawal,Cuba,2.644,I
Total freshwater withdrawal,Cuba,6.958,I
Fresh surface water withdrawal,Cyprus,0.061,OF
Fresh groundwater withdrawal,Cyprus,0.155,OF
Total freshwater withdrawal,Cyprus,0.216,OF
Fresh surface water withdrawal,Czechia,1.261,OF
Fresh groundwater withdrawal,Czechia,0.3694,OF
Total freshwater withdrawal,Czechia,1.63,OF
Total freshwater withdrawal,Côte d’Ivoire,1.162,I
Total freshwater withdrawal,Democratic People's Republic of Korea,8.6578,I
Total freshwater withdrawal,Democratic Republic of the Congo,0.6836,I
Fresh surface water withdrawal,Djibouti,0.001,I
Fresh groundwater withdrawal,Djibouti,0.018,I
Total freshwater withdrawal,Djibouti,0.019,I
Fresh surface water withdrawal,Dominica,0.02,I
Fresh groundwater withdrawal,Dominica,0.0,I
Total freshwater withdrawal,Dominica,0.02,I
Fresh groundwater withdrawal,Dominican Republic,0.386,I
Total freshwater withdrawal,Ecuador,9.9158,I
Fresh groundwater withdrawal,Egypt,6.5,OF
Fresh surface water withdrawal,El Salvador,1.483,I
Fresh groundwater withdrawal,El Salvador,0.635,I
Total freshwater withdrawal,El Salvador,2.118,I
Total freshwater withdrawal,Equatorial Guinea,0.0198,E
Total freshwater withdrawal,Eritrea,0.582,I
Fresh surface water withdrawal,Estonia,1.538,OF
