,,,Value,Symbol
Afghanistan,Harvested irrigated temporary crop area: Wheat,4,1301.0,I
Afghanistan,Harvested irrigated temporary crop area: Rice,7,208.0,I
Afghanistan,Harvested irrigated temporary crop area: Barley,10,116.0,I
Afghanistan,Harvested irrigated temporary crop area: Maize,13,183.0,I
Afghanistan,Harvested irrigated temporary crop area: Potatoes,17,15.0,I
Afghanistan,Harvested irrigated temporary crop area: Sugarcane,21,2.0,I
Afghanistan,Harvested irrigated temporary crop area: Sugar beet,25,2.0,I
Afghanistan,Harvested irrigated temporary crop area: Leguminous crops,29,27.0,I
Afghanistan,Harvested irrigated temporary crop area: Vegetables,32,69.0,I
Afghanistan,Harvested irrigated temporary crop area: Cotton,35,33.0,I
Afghanistan,Harvested irrigated temporary crop area: Sunflower,39,10.0,I
Afghanistan,Harvested irrigated temporary crop area: Sesame,43,10.0,I
Afghanistan,Harvested irrigated permanent crop area: Other crops,46,198.0,I
Afghanistan,Harvested irrigated temporary crop area: Wheat,4,1301.0,I
Afghanistan,Harvested irrigated temporary crop area: Rice,7,208.0,I
Afghanistan,Harvested irrigated temporary crop area: Barley,10,116.0,I
Afghanistan,Harvested irrigated temporary crop area: Maize,13,183.0,I
Afghanistan,Harvested irrigated temporary crop area: Potatoes,17,15.0,I
Afghanistan,Harvested irrigated temporary crop area: Sugarcane,21,2.0,I
Afghanistan,Harvested irrigated temporary crop area: Sugar beet,25,2.0,I
Afghanistan,Harvested irrigated temporary crop area: Leguminous crops,29,27.0,I
Afghanistan,Harvested irrigated temporary crop area: Vegetables,32,69.0,I
Afghanistan,Harvested irrigated temporary crop area: Cotton,35,33.0,I
Afghanistan,Harvested irrigated temporary crop area: Sunflower,39,10.0,I
Afghanistan,Harvested irrigated temporary crop area: Sesame,43,10.0,I
Afghanistan,Harvested irrigated permanent crop area: Other crops,46,198.0,I
Albania,Harvested irrigated temporary crop area: Wheat,2,3.1,I
Albania,Harvested irrigated temporary crop area: Maize,6,28.5,I
Albania,Harvested irrigated temporary crop area: Other cereals,10,4.2,I
Albania,Harvested irrigated temporary crop area: Potatoes,14,2.9,I
Albania,Harvested irrigated temporary crop area: Leguminous crops,18,13.1,I
Albania,Harvested irrigated temporary crop area: Vegetables,22,19.5,I
Albania,Harvested irrigated temporary crop area: Fodder,26,14.0,I
Albania,Harvested irrigated temporary crop area: Other crops,30,9.0,I
Albania,Harvested irrigated permanent crop area: Other crops,34,8.3,I
Algeria,Harvested irrigated temporary crop area: Wheat,3,89.3,I
Algeria,Harvested irrigated temporary crop area: Other cereals,9,82.54,I
Algeria,Harvested irrigated temporary crop area: Potatoes,14,79.0,I
Algeria,Harvested irrigated temporary crop area: Vegetables,20,273.2,I
Algeria,Harvested irrigated permanent crop area: Citrus,25,41.88,I
Algeria,Harvested irrigated temporary crop area: Tobacco,30,5.0,I
Algeria,Harvested irrigated permanent crop area: Oil palm,33,140.2,I
Algeria,Harvested irrigated temporary crop area: Other crops,38,24.76,I
Algeria,Harvested irrigated permanent crop area: Other crops,44,145.0,I
Angola,Harvested irrigated temporary crop area: Maize,2,4.799,I
Angola,Harvested irrigated temporary crop area: Potatoes,6,0.203,I
Angola,Harvested irrigated temporary crop area: Sweet potatoes,10,0.786,I
Angola,Harvested irrigated temporary crop area: Cassava,14,0.322,I
Angola,Harvested irrigated temporary crop area: Sugarcane,20,12.5,I
Angola,Harvested irrigated temporary crop area: Leguminous crops,24,1.14,I
Angola,Harvested irrigated temporary crop area: Vegetables,28,2.695,I
Angola,Harvested irrigated permanent crop area: Bananas,34,7.7,I
Angola,Harvested irrigated permanent crop area: Citrus,40,3.5,I
Angola,Harvested irrigated temporary crop area: Tobacco,46,9.1,I
Angola,Harvested irrigated temporary crop area: Groundnuts,50,0.004,I
Angola,Harvested irrigated temporary crop area: Other crops,54,1.573,I
Angola,Harvested irrigated permanent crop area: Other crops,60,11.2,I
Antigua and Barbuda,Harvested irrigated temporary crop area: Vegetables,4,0.2833,I
Antigua and Barbuda,Harvested irrigated temporary crop area: Other crops,10,0.01,I
Argentina,Harvested irrigated temporary crop area: Wheat,1,60.0,I
Argentina,Harvested irrigated temporary crop area: Rice,7,164.0,I
Argentina,Harvested irrigated temporary crop area: Maize,13,198.0,I
Argentina,Harvested irrigated temporary crop area: Sorghum,16,108.0,I
Argentina,Harvested irrigated temporary crop area: Potatoes,19,29.0,I
Argentina,Harvested irrigated temporary crop area: Other roots and tubers,25,162.9,I
Argentina,Harvested irrigated temporary crop area: Sugarcane,31,246.0,I
Argentina,Harvested irrigated temporary crop area: Leguminous crops,34,208.0,I
Argentina,Harvested irrigated temporary crop area: Vegetables,40,312.0,I
Argentina,Harvested irrigated permanent crop area: Citrus,43,22.0,I
Argentina,Harvested irrigated temporary crop area: Tobacco,46,10.0,I
