,,,Value,Symbol
Albania,Treated municipal wastewater,2,0.0205,
Albania,Treated municipal wastewater,2,0.0205,
Algeria,Desalinated water produced,4,0.631,
Algeria,Direct use of treated municipal wastewater,6,0.05,
Algeria,Produced municipal wastewater,12,1.5,
Algeria,Collected municipal wastewater,14,0.705,I
Algeria,Not treated municipal wastewater,16,0.496,I
Algeria,Treated municipal wastewater,18,0.4,
Algeria,Not treated municipal wastewater discharged (secondary water),21,0.219,I
Angola,Desalinated water produced,4,0.0001,I
Antigua and Barbuda,Desalinated water produced,3,0.0071,I
Antigua and Barbuda,Treated municipal wastewater,9,0.0002,I
Argentina,Desalinated water produced,4,0.0007,I
Argentina,Direct use of treated municipal wastewater,10,0.091,I
Argentina,Produced municipal wastewater,13,2.458,I
Argentina,Collected municipal wastewater,16,1.596,I
Argentina,Not treated municipal wastewater,19,2.168,I
Argentina,Treated municipal wastewater,24,0.29,I
Argentina,Treated municipal wastewater discharged (secondary water),29,0.0135,I
Armenia,Desalinated water produced,0,0.0,I
Armenia,Produced municipal wastewater,10,0.236,I
Armenia,Not treated municipal wastewater,15,0.274,I
Armenia,Treated municipal wastewater,20,0.17,
Armenia,Treated municipal wastewater discharged (secondary water),23,0.0889,I
Australia,Produced municipal wastewater,11,2.094,I
Australia,Collected municipal wastewater,15,1.828,I
Australia,Not treated municipal wastewater,18,0.315,I
Australia,Treated municipal wastewater,21,2.0,I
Australia,Treated municipal wastewater discharged (secondary water),24,1.58,I
Austria,Desalinated water produced,4,0.0022,I
Austria,Produced municipal wastewater,9,1.054,I
Austria,Collected municipal wastewater,14,1.919,I
Austria,Not treated municipal wastewater,19,0.02,I
Austria,Treated municipal wastewater,23,1.919,I
Austria,Treated municipal wastewater discharged (secondary water),27,0.806,I
Austria,Not treated municipal wastewater discharged (secondary water),32,0.0007,I
Azerbaijan,Produced municipal wastewater,4,0.659,I
Azerbaijan,Not treated municipal wastewater,10,0.498,I
Azerbaijan,Treated municipal wastewater,16,0.161,I
Bahrain,Desalinated water produced,4,0.2419,I
Bahrain,Direct use of treated municipal wastewater,10,0.0392,I
Bahrain,Produced municipal wastewater,16,0.151,I
Bahrain,Collected municipal wastewater,21,0.1482,I
Bahrain,Not treated municipal wastewater,24,0.072,I
Bahrain,Treated municipal wastewater,30,0.1482,I
Bahrain,Treated municipal wastewater discharged (secondary water),35,0.06,I
Bangladesh,Produced municipal wastewater,3,0.725,I
Barbados,Desalinated water produced,2,0.011,I
Barbados,Produced municipal wastewater,8,0.011,I
Barbados,Treated municipal wastewater,12,0.003,I
Belarus,Not treated municipal wastewater,7,0.111,I
Belgium,Direct use of treated municipal wastewater,3,0.003,I
Belgium,Produced municipal wastewater,7,0.871,I
Belgium,Collected municipal wastewater,12,0.1501,I
Belgium,Not treated municipal wastewater,17,0.0439,I
Belize,Produced municipal wastewater,4,0.002,I
Bhutan,Produced municipal wastewater,3,0.0039,I
Bolivia,Produced municipal wastewater,4,0.157,I
Bolivia,Not treated municipal wastewater,10,0.1022,I
Bolivia,Treated municipal wastewater,16,0.0336,I
Bolivia,Direct use of not treated municipal wastewater for irrigation purposes,19,0.0157,I
Bosnia and Herzegovina,Produced municipal wastewater,1,0.0901,
Bosnia and Herzegovina,Collected municipal wastewater,3,0.104,I
Bosnia and Herzegovina,Not treated municipal wastewater,7,0.0609,I
Bosnia and Herzegovina,Treated municipal wastewater,11,0.0484,
Bosnia and Herzegovina,Treated municipal wastewater discharged (secondary water),15,0.0029,I
Bosnia and Herzegovina,Not treated municipal wastewater discharged (secondary water),19,0.0609,I
Botswana,Produced municipal wastewater,4,0.011,I
Botswana,Treated municipal wastewater,10,0.008,I
Brazil,Desalinated water produced,4,0.04,I
Brazil,Direct use of treated municipal wastewater,7,0.05,I
Brazil,Not treated municipal wastewater,16,7.2,I
Brazil,Treated municipal wastewater discharged (secondary water),22,3.091,I
Burkina Faso,Direct use of treated municipal wastewater,1,0.0013,I
Burkina Faso,Produced municipal wastewater,4,0.0487,I
Burkina Faso,Collected municipal wastewater,7,0.0024,I
Burkina Faso,Treated municipal wastewater,10,0.0014,I
Cabo Verde,Desalinated water produced,4,0.0017,I
Cabo Verde,Produced municipal wastewater,7,0.0039,I
Cambodia,Treated municipal wastewater,4,0.0002,I
Cameroon,Produced municipal wastewater,1,0.0662,I
Canada,Desalinated water produced,4,0.0027,I
Canada,Not treated municipal wastewater,14,0.981,I
Chile,Desalinated water produced,4,0.065,I
Chile,Direct use of treated municipal wastewater,7,0.0,I
Chile,Produced municipal wastewater,12,1.112,I
Chile,Collected municipal wastewater,15,1.067,I
Chile,Not treated municipal wastewater,20,0.344,I
Chile,Treated municipal wastewater,25,0.768,I
Chile,Treated municipal wastewater discharged (secondary water),28,0.7807,I
Chile,Not treated municipal wastewater discharged (secondary water),31,0.2089,I
China,Desalinated water produced,2,0.0109,I
China,Direct use of treated municipal wastewater,4,3.86,I
China,Produced municipal wastewater,9,48.51,I
China,Collected municipal wastewater,12,31.14,I
China,Not treated municipal wastewater,15,2.49,I
China,Treated municipal wastewater,20,49.31,I
China,Treated municipal wastewater discharged (secondary water),22,42.16,I
Colombia,Produced municipal wastewater,4,2.397,I
Colombia,Not treated municipal wastewater,10,1.8,I
Colombia,Treated municipal wastewater,16,0.154,I
Congo,Treated municipal wastewater,4,0.0,I
Costa Rica,Desalinated water produced,0,0.0031,I
Costa Rica,Collected municipal wastewater,4,0.084,I
Costa Rica,Not treated municipal wastewater,8,0.267,I
Croatia,Not treated municipal wastewater,4,0.0954,I
Croatia,Treated municipal wastewater discharged (secondary water),8,0.209,I
Croatia,Not treated municipal wastewater discharged (secondary water),11,0.133,I
Cuba,Desalinated water produced,3,0.0004,I
Cuba,Produced municipal wastewater,9,0.839,I
Cuba,Collected municipal wastewater,13,0.725,I
Cuba,Not treated municipal wastewater,19,0.393,I
Cuba,Treated municipal wastewater,25,0.223,I
Cyprus,Direct use of treated municipal wastewater,7,0.0154,
Cyprus,Not treated municipal wastewater,10,0.004,I
Cyprus,Treated municipal wastewater,14,0.0302,
Cyprus,Treated municipal wastewater discharged (secondary water),16,0.0,I
Czech Republic,Desalinated water produced,4,0.0002,I
Côte d'Ivoire,Treated municipal wastewater,4,0.0001,I
Denmark,Desalinated water produced,4,0.015,I
Djibouti,Desalinated water produced,4,0.0001,I
Djibouti,Direct use of treated municipal wastewater,9,0.0001,I
Dominican Republic,Produced municipal wastewater,1,0.427,I
Dominican Republic,Collected municipal wastewater,4,0.041,I
Dominican Republic,Not treated municipal wastewater,7,0.419,I
Dominican Republic,Treated municipal wastewater,10,0.008,I
Ecuador,Desalinated water produced,4,0.0022,I
Ecuador,Produced municipal wastewater,7,0.4575,I
Ecuador,Not treated municipal wastewater,12,0.473,I
Ecuador,Treated municipal wastewater,17,0.158,I
Egypt,Desalinated water produced,4,0.2,I
Egypt,Direct use of treated municipal wastewater,10,1.2,I
Egypt,Produced municipal wastewater,15,7.078,I
Egypt,Collected municipal wastewater,18,6.497,I
Egypt,Not treated municipal wastewater,23,3.065,I
Egypt,Treated municipal wastewater,27,4.282,
Egypt,Treated municipal wastewater discharged (secondary water),32,3.011,I
Egypt,Not treated municipal wastewater discharged (secondary water),37,1.0,I
El Salvador,Desalinated water produced,4,0.0001,I
El Salvador,Produced municipal wastewater,7,0.097,I
El Salvador,Not treated municipal wastewater,10,0.096,I
El Salvador,Treated municipal wastewater,13,0.001,I
Eritrea,Produced municipal wastewater,3,0.018,I
Estonia,Produced municipal wastewater,2,0.129224,I
Estonia,Collected municipal wastewater,4,0.311,I
Estonia,Not treated municipal wastewater,10,0.072,I
Estonia,Treated municipal wastewater,16,0.1133466667,I
Eswatini,Produced municipal wastewater,4,0.0132,I
Eswatini,Not treated municipal wastewater,8,0.003,I
Eswatini,Treated municipal wastewater,13,0.009,I
Ethiopia,Direct use of treated municipal wastewater,3,0.0,I
Ethiopia,Treated municipal wastewater,8,0.0,I
Ethiopia,Treated municipal wastewater discharged (secondary water),12,0.0,I
Finland,Produced municipal wastewater,2,0.4,
Finland,Collected municipal wastewater,3,0.4,
Finland,Treated municipal wastewater,4,0.5,
France,Desalinated water produced,4,0.0117,I
France,Direct use of treated municipal wastewater,8,0.411,I
France,Produced municipal wastewater,13,4.0,I
France,Collected municipal wastewater,18,3.77,I
France,Not treated municipal wastewater,23,0.02,I
France,Treated municipal wastewater,26,3.77,I
France,Treated municipal wastewater discharged (secondary water),29,3.359,I
Germany,Direct use of treated municipal wastewater,3,0.042,I
Germany,Produced municipal wastewater,7,3.24,I
Germany,Collected municipal wastewater,12,5.213,I
Germany,Not treated municipal wastewater,16,0.104,I
Germany,Treated municipal wastewater,21,5.183,I
Ghana,Desalinated water produced,0,0.016,I
Ghana,Produced municipal wastewater,5,0.28,I
Ghana,Collected municipal wastewater,9,0.028,I
Ghana,Not treated municipal wastewater,13,0.258,I
Ghana,Treated municipal wastewater,17,0.022,I
Greece,Desalinated water produced,4,0.01,I
Greece,Direct use of treated municipal wastewater,9,0.104,I
Greece,Collected municipal wastewater,12,0.568,I
Greece,Not treated municipal wastewater,16,0.002,I
Greece,Treated municipal wastewater,19,0.566,I
Greece,Treated municipal wastewater discharged (secondary water),23,0.504,I
Grenada,Produced municipal wastewater,0,0.011,I
Grenada,Collected municipal wastewater,2,0.001,I
Guatemala,Produced municipal wastewater,3,0.668,I
Guatemala,Treated municipal wastewater,9,0.0065,I
Honduras,Desalinated water produced,4,0.0002,I
Honduras,Collected municipal wastewater,8,0.426,I
Honduras,Treated municipal wastewater,12,0.043,I
Hungary,Desalinated water produced,4,0.0002,I
Hungary,Collected municipal wastewater,8,0.5525,
Hungary,Treated municipal wastewater,10,0.5393,
India,Desalinated water produced,4,0.0006,I
India,Produced municipal wastewater,10,15.45,I
India,Not treated municipal wastewater,16,11.03,I
India,Treated municipal wastewater,22,4.416,I
India,Not treated municipal wastewater discharged (secondary water),28,9.66,I
India,Direct use of not treated municipal wastewater for irrigation purposes,34,1.23,I
Indonesia,Desalinated water produced,4,0.019,I
Indonesia,Produced municipal wastewater,8,14.29,I
Iran,Desalinated water produced,4,0.2,I
Iran,Produced municipal wastewater,10,3.548,I
Iran,Collected municipal wastewater,13,1.162,I
Iran,Not treated municipal wastewater,19,2.727,I
Iran,Treated municipal wastewater,25,0.885,I
Iran,Direct use of not treated municipal wastewater for irrigation purposes,29,0.244,I
Iraq,Direct use of treated municipal wastewater,5,0.005,I
Iraq,Produced municipal wastewater,7,0.94,I
Iraq,Collected municipal wastewater,9,0.579,I
Iraq,Treated municipal wastewater,14,0.485,I
Iraq,Not treated municipal wastewater discharged (secondary water),17,0.182,I
Iraq,Direct use of not treated municipal wastewater for irrigation purposes,20,1.03,I
Ireland,Produced municipal wastewater,4,0.783,I
Ireland,Collected municipal wastewater,8,0.757,I
Ireland,Not treated municipal wastewater,12,0.06,I
Ireland,Treated municipal wastewater,15,0.723,I
Ireland,Treated municipal wastewater discharged (secondary water),18,0.29,I
Ireland,Not treated municipal wastewater discharged (secondary water),22,0.028,I
Israel,Produced municipal wastewater,11,0.5,I
Israel,Not treated municipal wastewater,16,0.05,I
Israel,Treated municipal wastewater,22,0.45,I
Israel,Treated municipal wastewater discharged (secondary water),28,0.032,I
Italy,Desalinated water produced,4,0.0973,I
Italy,Direct use of treated municipal wastewater,9,0.045,I
Italy,Produced municipal wastewater,13,3.926,I
Italy,Not treated municipal wastewater,17,0.024,I
Italy,Treated municipal wastewater,22,3.902,I
Jamaica,Desalinated water produced,4,0.0005,I
Japan,Desalinated water produced,4,0.04,I
Japan,Direct use of treated municipal wastewater,9,0.195,I
Japan,Produced municipal wastewater,13,16.93,I
Japan,Collected municipal wastewater,17,12.02,I
Japan,Not treated municipal wastewater,21,5.37,I
Japan,Treated municipal wastewater,25,11.56,I
Japan,Treated municipal wastewater discharged (secondary water),29,11.37,I
Jordan,Desalinated water produced,4,0.1363,I
Jordan,Direct use of treated municipal wastewater,10,0.0042,I
Jordan,Produced municipal wastewater,15,0.18,I
Jordan,Collected municipal wastewater,20,0.115,I
Jordan,Not treated municipal wastewater,24,0.105,I
Jordan,Treated municipal wastewater,30,0.1467,I
Jordan,Treated municipal wastewater discharged (secondary water),35,0.0071,I
Kazakhstan,Produced municipal wastewater,7,0.33,I
Kenya,Produced municipal wastewater,0,0.0805,I
Kenya,Treated municipal wastewater,2,0.0424,I
Kuwait,Desalinated water produced,3,0.4202,I
Kuwait,Direct use of treated municipal wastewater,9,0.078,I
Kuwait,Produced municipal wastewater,15,0.292,I
Kuwait,Collected municipal wastewater,21,0.319,I
Kuwait,Not treated municipal wastewater,26,0.076,I
Kuwait,Treated municipal wastewater,32,0.289,I
Kuwait,Treated municipal wastewater discharged (secondary water),37,0.074,I
Kyrgyzstan,Direct use of treated municipal wastewater,4,0.0001,I
Kyrgyzstan,Produced municipal wastewater,8,0.0658,I
Kyrgyzstan,Treated municipal wastewater,14,0.0002,I
Kyrgyzstan,Treated municipal wastewater discharged (secondary water),20,0.0001,I
Lao People's Democratic Republic,Produced municipal wastewater,1,0.0836,I
Lao People's Democratic Republic,Collected municipal wastewater,6,0.546,I
Lao People's Democratic Republic,Treated municipal wastewater,12,0.0,I
Latvia,Produced municipal wastewater,6,0.1764,
Latvia,Not treated municipal wastewater,11,0.098,I
Latvia,Treated municipal wastewater discharged (secondary water),21,0.116,I
Lebanon,Desalinated water produced,2,0.0473,I
Lebanon,Direct use of treated municipal wastewater,8,0.002,I
Lebanon,Produced municipal wastewater,14,0.31,I
Lebanon,Collected municipal wastewater,19,0.103,I
Lebanon,Not treated municipal wastewater,25,0.193,I
Lebanon,Treated municipal wastewater,31,0.056,I
Lebanon,Treated municipal wastewater discharged (secondary water),37,0.002,I
Libya,Desalinated water produced,3,0.07,I
Libya,Produced municipal wastewater,8,0.504,I
Libya,Collected municipal wastewater,11,0.167,I
Libya,Not treated municipal wastewater,16,0.506,I
Libya,Treated municipal wastewater,21,0.04,I
Liechtenstein,Treated municipal wastewater,0,0.0105,
Lithuania,Produced municipal wastewater,3,0.2466,
Lithuania,Collected municipal wastewater,4,0.2288,
Lithuania,Treated municipal wastewater,9,0.1901,
Lithuania,Treated municipal wastewater discharged (secondary water),14,0.123,I
Luxembourg,Produced municipal wastewater,4,0.0208,I
Luxembourg,Collected municipal wastewater,8,0.04,I
Luxembourg,Treated municipal wastewater,12,0.04,I
Luxembourg,Treated municipal wastewater discharged (secondary water),16,0.04,I
Macedonia,Produced municipal wastewater,0,0.0412,I
Malaysia,Desalinated water produced,4,0.0043,I
Malaysia,Produced municipal wastewater,7,4.227,I
Malaysia,Not treated municipal wastewater,10,1.624,I
Malaysia,Treated municipal wastewater,13,2.603,I
Maldives,Desalinated water produced,4,0.0153,
Maldives,Produced municipal wastewater,9,0.0037,I
Mali,Produced municipal wastewater,1,0.0967,I
Malta,Desalinated water produced,4,0.0202,
Malta,Direct use of treated municipal wastewater,9,0.0006,
Malta,Treated municipal wastewater discharged (secondary water),19,0.0,I
Marshall Islands,Desalinated water produced,4,0.0007,I
Mauritania,Desalinated water produced,4,0.002,I
Mauritania,Produced municipal wastewater,7,0.0214,I
Mauritania,Treated municipal wastewater,12,0.0007,I
Mauritius,Direct use of treated municipal wastewater,0,0.006,
Mauritius,Treated municipal wastewater,4,0.051,I
Mexico,Produced municipal wastewater,10,7.41,
Mexico,Not treated municipal wastewater,19,3.92,I
Mexico,Treated municipal wastewater,25,4.28,
Mexico,Treated municipal wastewater discharged (secondary water),29,2.277,I
Mexico,Not treated municipal wastewater discharged (secondary water),35,6.8,I
Mexico,Direct use of not treated municipal wastewater for irrigation purposes,39,4.33,I
Monaco,Produced municipal wastewater,1,0.008,I
