,,Value,Symbol
Produced municipal wastewater,Guatemala,0.668,I
Treated municipal wastewater,Guatemala,0.0065,I
Desalinated water produced,Honduras,0.0002,I
Collected municipal wastewater,Honduras,0.426,
Treated municipal wastewater,Honduras,0.043,OF
Desalinated water produced,Hungary,0.0002,E
Produced municipal wastewater,Hungary,0.2167,OF
Desalinated water produced,India,0.00057,I
Produced municipal wastewater,India,12.86575,I
Not treated municipal wastewater,India,8.9965,I
Treated municipal wastewater,India,3.9204285714,I
Not treated municipal wastewater discharged (secondary water),India,9.476,I
Direct use of not treated municipal wastewater for irrigation purposes,India,1.23,I
Desalinated water produced,Indonesia,0.019,I
Produced municipal wastewater,Indonesia,7.524375,I
Desalinated water produced,Iran (Islamic Republic of),0.2,I
Produced municipal wastewater,Iran (Islamic Republic of),3.464,I
Not treated municipal wastewater,Iran (Islamic Republic of),2.7680625,I
Treated municipal wastewater,Iran (Islamic Republic of),0.6959375,I
Direct use of not treated municipal wastewater for irrigation purposes,Iran (Islamic Republic of),0.244,I
Desalinated water produced,Iraq,0.0097,I
Treated municipal wastewater,Iraq,0.433,I
Not treated municipal wastewater discharged (secondary water),Iraq,0.182,I
Desalinated water produced,Ireland,0.0002,E
Collected municipal wastewater,Ireland,0.318,
Not treated municipal wastewater,Ireland,0.028,OF
Not treated municipal wastewater discharged (secondary water),Ireland,0.028,OF
Desalinated water produced,Israel,0.14,OF
Direct use of treated municipal wastewater,Israel,0.37625,I
Treated municipal wastewater,Israel,0.45,OF
Treated municipal wastewater discharged (secondary water),Israel,0.032,I
Desalinated water produced,Italy,0.0973,I
Direct use of treated municipal wastewater,Italy,0.045,I
Not treated municipal wastewater,Italy,0.024,OF
Desalinated water produced,Jamaica,0.0005,E
Desalinated water produced,Japan,0.04,E
Direct use of treated municipal wastewater,Japan,0.191,I
Produced municipal wastewater,Japan,14.9766666667,I
Collected municipal wastewater,Japan,10.4466666667,I
Not treated municipal wastewater,Japan,5.9713333333,I
Treated municipal wastewater,Japan,9.0053333333,I
Treated municipal wastewater discharged (secondary water),Japan,8.8153333333,I
Desalinated water produced,Jordan,0.0371777778,I
Direct use of treated municipal wastewater,Jordan,0.03545,I
Produced municipal wastewater,Jordan,0.18,I
Collected municipal wastewater,Jordan,0.1095,I
Not treated municipal wastewater,Jordan,0.105,I
Treated municipal wastewater,Jordan,0.098,OF
Treated municipal wastewater discharged (secondary water),Jordan,0.0071,I
Desalinated water produced,Kazakhstan,0.64,E
Direct use of treated municipal wastewater,Kazakhstan,0.1775,I
Desalinated water produced,Kuwait,0.4202,I
Direct use of treated municipal wastewater,Kuwait,0.078,I
Produced municipal wastewater,Kuwait,0.252,I
Collected municipal wastewater,Kuwait,0.195375,I
Not treated municipal wastewater,Kuwait,0.076,I
Treated municipal wastewater,Kuwait,0.2264,I
Treated municipal wastewater discharged (secondary water),Kuwait,0.074,I
Direct use of treated municipal wastewater,Kyrgyzstan,0.0001,I
Produced municipal wastewater,Kyrgyzstan,0.042,I
Treated municipal wastewater,Kyrgyzstan,0.0002,I
Treated municipal wastewater discharged (secondary water),Kyrgyzstan,0.0001,I
Collected municipal wastewater,Lao People's Democratic Republic,0.546,I
Treated municipal wastewater,Lao People's Democratic Republic,0.0,I
Direct use of treated municipal wastewater,Latvia,0.0119733333,I
Produced municipal wastewater,Latvia,0.21,OF
Not treated municipal wastewater,Latvia,0.1048133333,I
Treated municipal wastewater,Latvia,0.1198266667,I
Treated municipal wastewater discharged (secondary water),Latvia,0.1078533333,I
Desalinated water produced,Lebanon,0.0473,I
Direct use of treated municipal wastewater,Lebanon,0.002,I
Produced municipal wastewater,Lebanon,0.2751428571,I
Collected municipal wastewater,Lebanon,0.1086,I
Not treated municipal wastewater,Lebanon,0.193,I
Treated municipal wastewater,Lebanon,0.056,I
Treated municipal wastewater discharged (secondary water),Lebanon,0.002,I
Desalinated water produced,Libya,0.0535714286,I
