,,Value,Symbol
Fresh groundwater withdrawal,Honduras,0.164,I
Total freshwater withdrawal,Honduras,1.607,I
Fresh surface water withdrawal,Hungary,4.9433333333,I
Fresh groundwater withdrawal,Hungary,0.5433333333,I
Total freshwater withdrawal,Hungary,5.4866666667,E
Fresh surface water withdrawal,Iceland,0.0075,I
Fresh groundwater withdrawal,Iceland,0.206575,I
Total freshwater withdrawal,Iceland,0.214075,E
Fresh groundwater withdrawal,India,240.7,I
Fresh surface water withdrawal,Indonesia,136.0684219674,I
Fresh groundwater withdrawal,Indonesia,25.0487655326,I
Total freshwater withdrawal,Indonesia,161.1171875,I
Fresh surface water withdrawal,Iran (Islamic Republic of),39.85,I
Fresh groundwater withdrawal,Iran (Islamic Republic of),53.1,I
Total freshwater withdrawal,Iran (Islamic Republic of),92.95,I
Total freshwater withdrawal,Iraq,52.9903,I
Fresh surface water withdrawal,Ireland,0.517,X
Fresh groundwater withdrawal,Ireland,0.213,X
Total freshwater withdrawal,Ireland,0.73,E
Fresh surface water withdrawal,Israel,0.506834769,I
Fresh groundwater withdrawal,Israel,0.872665231,I
Total freshwater withdrawal,Israel,1.3795,E
Total freshwater withdrawal,Italy,33.4563153846,E
Fresh surface water withdrawal,Jamaica,0.7913333333,I
Fresh groundwater withdrawal,Jamaica,0.5511666667,I
Total freshwater withdrawal,Jamaica,1.3425,I
Fresh groundwater withdrawal,Japan,10.33,X
Total freshwater withdrawal,Japan,82.75,E
Fresh surface water withdrawal,Jordan,0.3366691295,I
Fresh groundwater withdrawal,Jordan,0.5953308705,I
Total freshwater withdrawal,Jordan,0.932,E
Fresh surface water withdrawal,Kazakhstan,21.6,OF
Fresh groundwater withdrawal,Kazakhstan,1.217,OF
Total freshwater withdrawal,Kazakhstan,22.81,OF
Total freshwater withdrawal,Kenya,2.8331428571,I
Fresh surface water withdrawal,Kuwait,0.0,I
Fresh groundwater withdrawal,Kuwait,0.5168461538,I
Total freshwater withdrawal,Kuwait,0.5168461538,E
Fresh surface water withdrawal,Kyrgyzstan,7.401,I
Fresh groundwater withdrawal,Kyrgyzstan,0.306,I
Total freshwater withdrawal,Kyrgyzstan,7.707,I
Total freshwater withdrawal,Lao People's Democratic Republic,4.399,E
Fresh surface water withdrawal,Lebanon,0.447740146,I
Fresh groundwater withdrawal,Lebanon,0.791459854,I
Total freshwater withdrawal,Lebanon,1.2392,I
Total freshwater withdrawal,Lesotho,0.0438,E
Total freshwater withdrawal,Liberia,0.1459,E
Fresh surface water withdrawal,Libya,0.0921428571,I
Fresh groundwater withdrawal,Libya,5.0325,I
Total freshwater withdrawal,Libya,5.1246428571,E
Fresh groundwater withdrawal,Lithuania,0.1754,X
Fresh surface water withdrawal,Luxembourg,0.02184,I
Fresh groundwater withdrawal,Luxembourg,0.02792,I
Total freshwater withdrawal,Luxembourg,0.04976,I
Fresh groundwater withdrawal,Madagascar,0.024,I
Total freshwater withdrawal,Malawi,1.3568,I
Fresh surface water withdrawal,Malaysia,5.7908421053,I
Fresh groundwater withdrawal,Malaysia,0.1227947368,I
Total freshwater withdrawal,Malaysia,5.9135789474,I
Total freshwater withdrawal,Maldives,0.0046380952,I
Fresh surface water withdrawal,Mali,5.125,I
Fresh groundwater withdrawal,Mali,0.061,I
Total freshwater withdrawal,Mali,5.186,I
Fresh surface water withdrawal,Malta,0.0013,I
Fresh groundwater withdrawal,Malta,0.0355,I
Total freshwater withdrawal,Malta,0.0368,E
Total freshwater withdrawal,Mauritania,1.3482,E
Fresh surface water withdrawal,Mauritius,0.518,OF
Fresh groundwater withdrawal,Mauritius,0.112,OF
Total freshwater withdrawal,Mauritius,0.63,OF
Total freshwater withdrawal,Monaco,0.0055,E
Fresh surface water withdrawal,Mongolia,0.097658642,I
Fresh groundwater withdrawal,Mongolia,0.4460080247,I
Total freshwater withdrawal,Mongolia,0.5436666667,I
Total freshwater withdrawal,Montenegro,0.1694333333,E
Fresh surface water withdrawal,Morocco,9.3159774405,I
Fresh groundwater withdrawal,Morocco,2.8470225595,I
Total freshwater withdrawal,Morocco,12.163,I
Total freshwater withdrawal,Mozambique,1.1667485714,E
Fresh surface water withdrawal,Myanmar,30.24,I
Fresh groundwater withdrawal,Myanmar,2.991,I
Total freshwater withdrawal,Myanmar,33.231,I
Fresh surface water withdrawal,Namibia,0.1566,I
Fresh groundwater withdrawal,Namibia,0.1253,I
Total freshwater withdrawal,Namibia,0.2819,I
Total freshwater withdrawal,Nepal,9.4971,E
Fresh surface water withdrawal,Netherlands,9.946,OF
Fresh groundwater withdrawal,Netherlands,0.9956,X
Fresh surface water withdrawal,New Zealand,3.51575,I
Fresh groundwater withdrawal,New Zealand,1.4655,I
Total freshwater withdrawal,New Zealand,4.98125,I
Total freshwater withdrawal,Nicaragua,1.5308,E
Fresh surface water withdrawal,Niger,0.0880728889,I
