,,Value,Symbol
Harvested irrigated temporary crop area: Wheat,Afghanistan,994.2105263158,I
Harvested irrigated temporary crop area: Potatoes,Afghanistan,15.0,I
Harvested irrigated temporary crop area: Sugarcane,Afghanistan,2.0,I
Harvested irrigated temporary crop area: Sugar beet,Afghanistan,2.0,I
Harvested irrigated temporary crop area: Leguminous crops,Afghanistan,27.0,I
Harvested irrigated temporary crop area: Sunflower,Afghanistan,10.0,I
Harvested irrigated temporary crop area: Sesame,Afghanistan,10.0,I
Harvested irrigated temporary crop area: Wheat,Albania,3.1,I
Harvested irrigated temporary crop area: Maize,Albania,28.5,I
Harvested irrigated temporary crop area: Other cereals,Albania,4.2,I
Harvested irrigated temporary crop area: Potatoes,Albania,2.9,I
Harvested irrigated temporary crop area: Leguminous crops,Albania,13.1,I
Harvested irrigated temporary crop area: Vegetables,Albania,19.5,I
Harvested irrigated temporary crop area: Fodder,Albania,14.0,I
Harvested irrigated temporary crop area: Other crops,Albania,9.0,I
Harvested irrigated permanent crop area: Other crops,Albania,8.3,I
Harvested irrigated temporary crop area: Wheat,Algeria,89.3,I
Harvested irrigated temporary crop area: Other cereals,Algeria,79.1518181818,I
Harvested irrigated temporary crop area: Potatoes,Algeria,79.0,I
Harvested irrigated temporary crop area: Vegetables,Algeria,248.3142857143,I
Harvested irrigated permanent crop area: Citrus,Algeria,42.4685714286,I
Harvested irrigated temporary crop area: Tobacco,Algeria,5.0,I
Harvested irrigated temporary crop area: Other crops,Algeria,23.3657142857,I
Harvested irrigated permanent crop area: Other crops,Algeria,145.0,I
Harvested irrigated temporary crop area: Maize,Angola,4.799,I
Harvested irrigated temporary crop area: Potatoes,Angola,0.203,I
Harvested irrigated temporary crop area: Sweet potatoes,Angola,0.786,I
Harvested irrigated temporary crop area: Cassava,Angola,0.322,I
Harvested irrigated temporary crop area: Sugarcane,Angola,12.5,I
Harvested irrigated temporary crop area: Leguminous crops,Angola,1.14,I
Harvested irrigated temporary crop area: Vegetables,Angola,2.695,I
Harvested irrigated permanent crop area: Bananas,Angola,7.7,I
Harvested irrigated permanent crop area: Citrus,Angola,3.5,I
Harvested irrigated temporary crop area: Tobacco,Angola,9.1,I
Harvested irrigated temporary crop area: Groundnuts,Angola,0.004,I
Harvested irrigated temporary crop area: Other crops,Angola,1.573,I
Harvested irrigated permanent crop area: Other crops,Angola,11.2,I
Harvested irrigated temporary crop area: Vegetables,Antigua and Barbuda,0.2160588235,I
Harvested irrigated temporary crop area: Other crops,Antigua and Barbuda,0.01,I
Harvested irrigated temporary crop area: Rice,Argentina,157.8918181818,I
Harvested irrigated temporary crop area: Maize,Argentina,195.5636363636,I
Harvested irrigated temporary crop area: Other roots and tubers,Argentina,162.9,I
Harvested irrigated temporary crop area: Sugarcane,Argentina,245.4545454545,I
Harvested irrigated temporary crop area: Vegetables,Argentina,307.4363636364,I
Harvested irrigated temporary crop area: Flowers,Argentina,2.952,I
Harvested irrigated temporary crop area: Other crops,Argentina,19.2272727273,I
Harvested irrigated permanent crop area: Other crops,Argentina,493.1,I
Harvested irrigated temporary crop area: Wheat,Armenia,35.0,I
Harvested irrigated temporary crop area: Barley,Armenia,5.9,I
Harvested irrigated temporary crop area: Maize,Armenia,3.1,I
Harvested irrigated temporary crop area: Other cereals,Armenia,0.3,I
Harvested irrigated temporary crop area: Potatoes,Armenia,24.0,I
Harvested irrigated temporary crop area: Other roots and tubers,Armenia,32.6,I
Harvested irrigated temporary crop area: Sugar beet,Armenia,0.2,I
Harvested irrigated temporary crop area: Leguminous crops,Armenia,2.0,I
Harvested irrigated temporary crop area: Vegetables,Armenia,23.2,I
Harvested irrigated temporary crop area: Tobacco,Armenia,0.2,I
Harvested irrigated temporary crop area: Fodder,Armenia,26.0,I
Harvested irrigated temporary crop area: Sunflower,Armenia,0.2,I
Harvested irrigated temporary crop area: Other crops,Armenia,5.0,I
Harvested irrigated permanent crop area: Other crops,Armenia,50.9,I
Harvested irrigated temporary crop area: Wheat,Austria,2.65,I
Harvested irrigated temporary crop area: Maize,Austria,7.872,I
Harvested irrigated temporary crop area: Potatoes,Austria,3.42,I
Harvested irrigated temporary crop area: Sugar beet,Austria,7.186,I
Harvested irrigated permanent crop area: Citrus,Austria,0.0,I
Harvested irrigated temporary crop area: Fodder,Austria,0.62,I
Harvested irrigated temporary crop area: Soybeans,Austria,0.32,I
Harvested irrigated temporary crop area: Sunflower,Austria,1.17,I
Harvested irrigated permanent crop area: Other crops,Austria,1.78,I
Harvested irrigated temporary crop area: Wheat,Azerbaijan,610.9,I
Harvested irrigated temporary crop area: Rice,Azerbaijan,2.573,I
Harvested irrigated temporary crop area: Barley,Azerbaijan,158.9,I
Harvested irrigated temporary crop area: Maize,Azerbaijan,33.19,I
Harvested irrigated temporary crop area: Other cereals,Azerbaijan,9.302,I
Harvested irrigated temporary crop area: Potatoes,Azerbaijan,65.8,I
Harvested irrigated temporary crop area: Other roots and tubers,Azerbaijan,6.091,I
Harvested irrigated temporary crop area: Sugar beet,Azerbaijan,3.202,I
Harvested irrigated temporary crop area: Leguminous crops,Azerbaijan,0.041,I
Harvested irrigated temporary crop area: Vegetables,Azerbaijan,77.25,I
Harvested irrigated permanent crop area: Tea,Azerbaijan,3.658,I
Harvested irrigated temporary crop area: Tobacco,Azerbaijan,2.649,I
Harvested irrigated temporary crop area: Cotton,Azerbaijan,78.16,I
Harvested irrigated permanent crop area: Oil palm,Azerbaijan,11.14,I
Harvested irrigated temporary crop area: Sunflower,Azerbaijan,11.38,I
Harvested irrigated temporary crop area: Other crops,Azerbaijan,236.8,I
Harvested irrigated permanent crop area: Other crops,Azerbaijan,97.75,I
Harvested irrigated temporary crop area: Vegetables,Bahrain,1.015,I
Harvested irrigated temporary crop area: Fodder,Bahrain,0.79,I
Harvested irrigated permanent crop area: Other crops,Bahrain,2.21,I
Harvested irrigated temporary crop area: Wheat,Bangladesh,309.8285714286,I
Harvested irrigated temporary crop area: Rice,Bangladesh,4222.6428571429,I
Harvested irrigated temporary crop area: Sugarcane,Bangladesh,40.8242857143,I
Harvested irrigated temporary crop area: Other crops,Bangladesh,392.2142857143,I
Harvested irrigated permanent crop area: Other crops,Bangladesh,89.13,I
Harvested irrigated temporary crop area: Maize,Belgium,0.36,I
Harvested irrigated temporary crop area: Potatoes,Belgium,1.984,I
Harvested irrigated temporary crop area: Sugar beet,Belgium,0.516,I
Harvested irrigated temporary crop area: Fodder,Belgium,0.23,I
Harvested irrigated permanent crop area: Other crops,Belgium,1.054,I
Harvested irrigated temporary crop area: Rice,Belize,1.338,I
Harvested irrigated temporary crop area: Sugarcane,Belize,0.2,I
Harvested irrigated temporary crop area: Vegetables,Belize,0.074,I
Harvested irrigated permanent crop area: Bananas,Belize,1.215,I
Harvested irrigated permanent crop area: Other crops,Belize,0.6,I
Harvested irrigated temporary crop area: Rice,Benin,9.4575714286,I
Harvested irrigated temporary crop area: Vegetables,Benin,2.5713333333,I
Harvested irrigated permanent crop area: Other crops,Benin,0.07,I
Harvested irrigated temporary crop area: Maize,Botswana,0.35,I
Harvested irrigated temporary crop area: Vegetables,Botswana,0.299,I
Harvested irrigated permanent crop area: Citrus,Botswana,0.321,I
Harvested irrigated temporary crop area: Cotton,Botswana,0.1,I
Harvested irrigated temporary crop area: Fodder,Botswana,0.22,I
Harvested irrigated permanent crop area: Other crops,Botswana,0.2,I
Harvested irrigated temporary crop area: Wheat,Brazil,19.0,I
Harvested irrigated temporary crop area: Rice,Brazil,1129.0,I
Harvested irrigated temporary crop area: Maize,Brazil,559.0,I
Harvested irrigated temporary crop area: Potatoes,Brazil,23.0,I
Harvested irrigated temporary crop area: Sugarcane,Brazil,1705.0,I
Harvested irrigated temporary crop area: Leguminous crops,Brazil,315.9,I
Harvested irrigated temporary crop area: Vegetables,Brazil,151.8,I
Harvested irrigated permanent crop area: Bananas,Brazil,27.0,I
Harvested irrigated permanent crop area: Citrus,Brazil,157.5,I
Harvested irrigated permanent crop area: Coffee,Brazil,262.2,I
Harvested irrigated temporary crop area: Tobacco,Brazil,64.0,I
Harvested irrigated temporary crop area: Cotton,Brazil,207.0,I
Harvested irrigated temporary crop area: Soybeans,Brazil,624.2,I
Harvested irrigated temporary crop area: Rice,Brunei Darussalam,0.375,I
Harvested irrigated temporary crop area: Wheat,Bulgaria,0.01,I
Harvested irrigated temporary crop area: Maize,Bulgaria,17.578,I
Harvested irrigated temporary crop area: Potatoes,Bulgaria,3.822,I
Harvested irrigated temporary crop area: Sugar beet,Bulgaria,0.03,I
Harvested irrigated temporary crop area: Fodder,Bulgaria,2.79,I
Harvested irrigated temporary crop area: Soybeans,Bulgaria,0.01,I
Harvested irrigated temporary crop area: Sunflower,Bulgaria,5.052,I
Harvested irrigated permanent crop area: Other crops,Bulgaria,4.704,I
Harvested irrigated temporary crop area: Rice,Burkina Faso,12.5422222222,I
Harvested irrigated temporary crop area: Maize,Burkina Faso,1.7682222222,I
Harvested irrigated temporary crop area: Sorghum,Burkina Faso,4.0,I
Harvested irrigated temporary crop area: Other cereals,Burkina Faso,0.111,I
Harvested irrigated temporary crop area: Potatoes,Burkina Faso,0.061,I
Harvested irrigated temporary crop area: Sugarcane,Burkina Faso,3.9,I
Harvested irrigated temporary crop area: Vegetables,Burkina Faso,7.3533333333,I
Harvested irrigated temporary crop area: Tobacco,Burkina Faso,0.061,I
Harvested irrigated temporary crop area: Other crops,Burkina Faso,0.02,I
Harvested irrigated permanent crop area: Other crops,Burkina Faso,1.45,I
Harvested irrigated temporary crop area: Rice,Burundi,4.21,I
Harvested irrigated temporary crop area: Sugarcane,Burundi,1.45,I
Harvested irrigated temporary crop area: Vegetables,Burundi,0.8,I
Harvested irrigated permanent crop area: Coffee,Burundi,0.5,I
Harvested irrigated temporary crop area: Maize,Cabo Verde,0.1,I
Harvested irrigated temporary crop area: Potatoes,Cabo Verde,0.21,I
Harvested irrigated temporary crop area: Other roots and tubers,Cabo Verde,0.4,I
Harvested irrigated temporary crop area: Sugarcane,Cabo Verde,1.0,I
Harvested irrigated temporary crop area: Vegetables,Cabo Verde,0.875,I
Harvested irrigated temporary crop area: Flowers,Cabo Verde,0.29,I
Harvested irrigated permanent crop area: Other crops,Cabo Verde,0.147,I
Harvested irrigated temporary crop area: Rice,Cambodia,373.3,I
Harvested irrigated temporary crop area: Sugarcane,Cambodia,9.956,I
Harvested irrigated permanent crop area: Citrus,Cambodia,1.244,I
Harvested irrigated temporary crop area: Rice,Cameroon,20.39,I
Harvested irrigated temporary crop area: Maize,Cameroon,7.546,I
Harvested irrigated permanent crop area: Bananas,Cameroon,5.43,I
Harvested irrigated temporary crop area: Other crops,Cameroon,1.176,I
